timestamp,DXL_PWM,DXL_Current,DXL_Velocity,θ(t),DXL_Input_Voltage,U
0.0,0.0,-0.00269,0.0,-0.05033529562751656,11.9,0.0
0.02,-0.00791,-0.00269,0.0,-0.05033529562751656,11.9,-0.094129
0.04,-0.06441,-0.05111,0.0,-0.05187118536927179,11.9,-0.7664789999999999
0.06,-0.13447,-0.09415,0.0,-0.05187118536927179,11.9,-1.6001930000000002
0.08,-0.19775,-0.11567,-0.047961647844804174,-0.056478854594536575,11.9,-2.353225
0.1,-0.2486,-0.12104999999999999,-0.11990411961201045,-0.06415830330331158,11.9,-2.9583399999999997
0.12,-0.27685000000000004,-0.1076,-0.2398082392240209,-0.07490953149559684,11.9,-3.2945150000000005
0.14,-0.28476,-0.08608,-0.3836931827584334,-0.08719664942963665,11.9,-3.388644
0.16,-0.28024,-0.04573,-0.527578126292846,-0.10409143658894189,11.9,-3.334856
0.18,-0.26894,-0.02152,-0.6474822459048563,-0.12098622374824694,11.9,-3.2003860000000004
0.2,-0.25312,-0.00807,-0.7434055415944647,-0.13788101090755198,11.9,-3.012128
0.22,-0.24069,-0.01345,-0.791367189439269,-0.15477579806685746,11.9,-2.864211
0.24,-0.23617000000000002,-0.01614,-0.815348013361671,-0.17013469548440727,11.9,-2.810423
0.26,-0.24069,-0.0269,-0.791367189439269,-0.1839577031602025,11.9,-2.864211
0.28,-0.24069,-0.03497,-0.7434055415944647,-0.19778071083599755,11.9,-2.864211
0.3,-0.24069,-0.040350000000000004,-0.7194247176720626,-0.21160371851179258,11.9,-2.864211
0.32,-0.24069,-0.05111,-0.6954438937496605,-0.22542672618758786,11.9,-2.864211
0.34,-0.23278000000000001,-0.04304,-0.6714630698272585,-0.23771384412162785,11.9,-2.7700820000000004
0.36,-0.23278000000000001,-0.048420000000000005,-0.6474822459048563,-0.25153685179742286,11.9,-2.7700820000000004
0.38,-0.23278000000000001,-0.05111,-0.6474822459048563,-0.2638239697314629,11.9,-2.7700820000000004
0.4,-0.22826000000000002,-0.061869999999999994,-0.6235014219824542,-0.27611108766550313,11.9,-2.7162940000000004
0.42,-0.22487000000000001,-0.061869999999999994,-0.6235014219824542,-0.28839820559954316,11.9,-2.6759530000000002
0.44,-0.22035,-0.061869999999999994,-0.5995205980600522,-0.3006853235335832,11.9,-2.622165
0.46,-0.22035,-0.06456,-0.5995205980600522,-0.31143655172586826,11.9,-2.622165
0.48,-0.22035,-0.06725,-0.5755397741376501,-0.32218777991815345,11.9,-2.622165
0.5,-0.22035,-0.06994,-0.551558950215248,-0.3329390081104383,11.9,-2.622165
0.52,-0.21696000000000001,-0.07263,-0.527578126292846,-0.3436902363027235,11.9,-2.581824
0.54,-0.21244,-0.07801000000000001,-0.527578126292846,-0.35290557475325357,11.9,-2.528036
0.56,-0.21244,-0.07263,-0.5035973023704439,-0.3636568029455385,11.9,-2.528036
0.58,-0.20905,-0.07263,-0.5035973023704439,-0.37133625165431355,11.9,-2.4876950000000004
0.6,-0.20905,-0.08070000000000001,-0.4796164784480418,-0.3805515901048436,11.9,-2.4876950000000004
0.62,-0.21244,-0.08608,-0.4796164784480418,-0.38976692855537387,11.9,-2.528036
0.64,-0.20905,-0.08877,-0.45563565452563964,-0.39898226700590356,11.9,-2.4876950000000004
0.66,-0.20114,-0.08339,-0.45563565452563964,-0.40819760545643385,11.9,-2.3935660000000003
0.68,-0.19323,-0.08339,-0.43165483060323756,-0.4174129439069639,11.9,-2.299437
0.7000000000000001,-0.18532,-0.08339,-0.43165483060323756,-0.4235565028739839,11.9,-2.205308
0.72,-0.18193,-0.08339,-0.4076740066808355,-0.4312359515827589,11.9,-2.1649670000000003
0.74,-0.18193,-0.09684000000000001,-0.3836931827584334,-0.43891540029153414,11.9,-2.1649670000000003
0.76,-0.17740999999999998,-0.09684000000000001,-0.3597123588360313,-0.44505895925855393,11.9,-2.111179
0.78,-0.17402,-0.09684000000000001,-0.3357315349136292,-0.45120251822557417,11.9,-2.070838
0.8,-0.16949999999999998,-0.09953000000000001,-0.3117507109912271,-0.4573460771925943,11.9,-2.01705
0.8200000000000001,-0.16158999999999998,-0.09953000000000001,-0.28776988706882506,-0.4619537464178592,11.9,-1.9229209999999999
0.84,-0.1582,-0.09953000000000001,-0.28776988706882506,-0.4680973053848795,11.9,-1.8825800000000001
0.86,-0.1582,-0.10491,-0.263789063146423,-0.4727049746101442,11.9,-1.8825800000000001
0.88,-0.15029,-0.10222,-0.2398082392240209,-0.47731264383540917,11.9,-1.7884510000000002
0.9,-0.14238,-0.10222,-0.2398082392240209,-0.4803844233189193,11.9,-1.694322
0.92,-0.13785999999999998,-0.10222,-0.21582741530161878,-0.48499209254418424,11.9,-1.640534
0.9400000000000001,-0.13108,-0.09953000000000001,-0.1918465913792167,-0.48806387202769447,11.9,-1.559852
0.96,-0.12656,-0.10222,-0.1678657674568146,-0.4911356515112043,11.9,-1.506064
0.98,-0.12317,-0.11028999999999999,-0.1678657674568146,-0.49420743099471454,11.9,-1.465723
1.0,-0.11526,-0.10222,-0.14388494353441253,-0.49727921047822427,11.9,-1.371594
1.02,-0.10282999999999999,-0.09684000000000001,-0.11990411961201045,-0.4988151002199795,11.9,-1.223677
1.04,-0.09153,-0.09684000000000001,-0.09592329568960835,-0.5003509899617344,11.9,-1.089207
1.06,-0.09153,-0.09953000000000001,-0.09592329568960835,-0.5018868797034892,11.9,-1.089207
1.08,-0.10282999999999999,-0.13181,-0.07194247176720626,-0.5018868797034892,11.9,-1.223677
1.1,-0.12317,-0.14526,-0.047961647844804174,-0.5018868797034892,11.9,-1.465723
1.12,-0.16158999999999998,-0.17216,-0.023980823922402087,-0.5034227694452443,11.9,-1.9229209999999999
1.1400000000000001,-0.21696000000000001,-0.19368000000000002,-0.023980823922402087,-0.5049586591869996,11.9,-2.581824
