t,DXL_PWM,DXL_Current,DXL_Velocity,DXL_Position,DXL_Input_Voltage,U,position_reference,velocity_from_meas,velocity_from_ref,acc_from_velocity_from_meas,acc_from_meas,acc_from_ref,current_reference
0.0,0.00113,0.0,0.0,0.02569124658935662,11.9,0.013446999999999999,0.0,0.0,0.8363476237601241,0.0,0.0,-0.052783811876186415,0.0
0.08,0.00113,0.0,0.0,0.02569124658935662,11.9,0.013446999999999999,0.06690780990080993,0.0,0.8321249188100291,0.0,0.0,-0.1053011191825437,0.01669449081803
0.16,0.0,0.0,0.0,0.02569124658935662,11.9,0.0,0.13313998700960467,0.0,0.8194994446909171,0.0,0.0,-0.20953891123988466,0.0333889816360601
0.24,0.00113,0.0,0.0,0.02569124658935662,11.9,0.013446999999999999,0.1980277210513566,0.0,0.7985986930116477,0.0,0.0,-0.311660786488015,0.0500834724540901
0.32,0.00113,0.0,0.0,0.02569124658935662,11.9,0.013446999999999999,0.26091577789146825,0.0,0.7696337188528346,0.0,0.0,-0.41063552169899076,0.0667779632721202
0.4,0.00113,0.0,0.0,0.02569124658935662,11.9,0.013446999999999999,0.3211691160678102,0.0,0.7328970095398091,0.0,0.0,-0.5054636733581077,0.0834724540901502
0.48,0.00113,0.0,0.0,0.02569124658935662,11.9,0.013446999999999999,0.3781792994178377,0.0,0.6887595311155374,0.0,0.0,-0.595187670010521,0.1001669449081802
0.56,0.00113,0.0,0.0,0.02569124658935662,11.9,0.013446999999999999,0.4313706410462962,0.0,0.6376669823381258,0.0,0.0,-0.678901481785271,0.1168614357262103
0.64,0.013560000000000001,0.0,0.0,0.02569124658935662,11.9,0.161364,0.48020601659193785,0.0,0.580135294029894,0.0,0.0,-0.755759769454218,0.1335559265442404
0.72,0.01808,0.0,0.0,0.02569124658935662,11.9,0.21515199999999998,0.5241922880910792,0.0,0.516745419225451,0.0,0.0,-0.8249864206387931,0.1502504173622704
0.8,0.012430000000000002,0.00269,0.0,0.02569124658935662,11.9,0.14791700000000002,0.56288528366801,0.0,0.4481374667276872,0.0,0.0,-0.8858823869664385,0.1669449081803005
0.88,0.010170000000000002,0.0,0.0,0.02569124658935662,11.9,0.12102300000000003,0.5958942827675091,0.0,0.3750042373108209,0.0,0.0,-0.9378327430373652,0.1836393989983305
0.96,0.012430000000000002,0.0,0.0,0.02569124658935662,11.9,0.14791700000000002,0.6228859616377413,0.0,0.29808422784170885,0.0,0.0,-0.9803128959203375,0.2003338898163605
1.04,0.01808,0.0,0.0,0.02569124658935662,11.9,0.21515199999999998,0.6435877592221826,0.0,0.21815417396356684,0.0,0.0,-1.012893882474288,0.2170283806343906
1.12,0.01808,0.0,0.0,0.02569124658935662,11.9,0.21515199999999998,0.657790629471912,0.0,0.13602120664582262,0.0,0.0,-1.035246701003515,0.2337228714524206
1.2,0.013560000000000001,0.0,0.0,0.02569124658935662,11.9,0.161364,0.6653511522855143,0.0,0.05251470180300455,0.0,0.0,-1.0471456335056701,0.2504173622704507
1.28,0.013560000000000001,0.0,0.0,0.02569124658935662,11.9,0.161364,0.6661929817603928,0.0,-0.03152209471508449,0.0,0.0,-1.048470524964489,0.2671118530884808
1.36,0.01808,0.00269,0.0,0.02569124658935662,11.9,0.21515199999999998,0.6603076171311008,0.0,-0.11524058219131383,0.0,0.0,-1.0392079966710048,0.2838063439065108
1.44,0.01808,0.0,0.0,0.02569124658935662,11.9,0.21515199999999998,0.6477544886097826,0.0,-0.1977953741824452,0.0,0.0,-1.0194515813213294,0.3005008347245408
1.52,0.011300000000000001,0.00269,0.0,0.02569124658935662,11.9,0.13447,0.6286603572619096,0.0,-0.27835283520272647,0.0,0.0,-0.989400778526702,0.3171953255425709
1.6,0.010170000000000002,0.00269,0.0,0.02569124658935662,11.9,0.12102300000000003,0.6032180349773463,0.0,-0.35609949874671765,0.0,0.0,-0.9493590402731433,0.333889816360601
1.68,0.01808,0.0,0.0,0.02569124658935662,11.9,0.21515199999999998,0.5716844374624348,0.0,-0.4302502816464293,0.0,0.0,-0.8997307066735938,0.350584307178631
1.76,0.00904,0.0,0.0,0.02569124658935662,11.9,0.10757599999999999,0.5343779899139176,0.0,-0.5000564118144926,0.0,0.0,-0.8410169229552529,0.3672787979966611
1.84,0.012430000000000002,0.00538,0.0,0.02569124658935662,11.9,0.14791700000000002,0.4916754115721159,0.0,-0.5648129893192699,0.0,0.0,-0.7738105789120433,0.3839732888146911
1.92,0.00452,0.00269,0.0,0.02569124658935662,11.9,0.053787999999999996,0.44400791162283443,0.0,-0.6238661044404195,0.0,0.0,-0.6987903219235907,0.4006677796327211
2.0,0.02373,0.00807,0.0,0.02569124658935662,11.9,0.282387,0.3918568348616488,0.0,-0.6766194408270443,0.0,0.0,-0.6167137039970951,0.4173622704507512
2.08,0.010170000000000002,0.00807,0.0,0.02569124658935662,11.9,0.12102300000000003,0.33574880109050725,0.0,-0.7225402970799548,0.0,0.0,-0.5284095320328337,0.4340567612687813
2.16,0.010170000000000002,0.00807,0.0,0.02569124658935662,11.9,0.12102300000000003,0.27625038732885593,0.0,-0.7611649659522977,1.7347234759768056e-16,0.0,-0.43476949856025104,0.4507512520868113
