t,DXL_PWM,DXL_Current,DXL_Velocity,DXL_Position,DXL_Input_Voltage,U,position_reference,velocity_from_meas,velocity_from_ref,acc_from_velocity_from_meas,acc_from_meas,acc_from_ref,torque_hip_from_ref,position_from_julia_hip
0.0,0.00791,0.0,0.0,0.00041887902047865744,11.9,0.094129,0.0,0.07679448708774739,0.8363476237601241,3.119776037939902,0.0,-0.052783811876186415,0.0,-6.53144959545255e-16
0.08,0.31753,0.10491,0.0,0.006562437987498448,11.9,3.778607,0.06690780990080993,0.3263765701229396,0.8321249188100291,4.079707126536771,3.1474831398152743,-0.1053011191825437,0.04453567780462122,0.0668769005010374
0.16,0.42827,0.11567,0.5035973023704439,0.05263913024014899,11.8,5.053586,0.13313998700960467,0.7295476273336309,0.8194994446909171,3.119776037939861,5.245805233025457,-0.20953891123988466,0.0884172538387742,0.13302392830049542
0.24,0.39663000000000004,0.05111,0.839328837284073,0.12329005836087936,11.8,4.6802340000000004,0.1980277210513566,0.8255407361933172,0.7985986930116477,0.23998277214921782,1.4988014951501318,-0.311660786488015,0.13101653721900328,0.1977930769922423
0.32,0.41245000000000004,0.10222,0.7434055415944647,0.18472564803107971,11.9,4.908155000000001,0.26091577789146825,0.7679448708775056,0.7696337188528346,-0.4799655442984392,-0.5995205980600513,-0.41063552169899076,0.17175493934078143,0.2605579030251712
0.4,0.40454,0.11567,0.7434055415944647,0.2461612377012803,11.9,4.814026,0.3211691160678102,0.748746249105567,0.7328970095398091,-0.4799655442984543,-0.14988014951501238,-0.5054636733581077,0.21012298023220927,0.3207131033933612
0.48,0.39663000000000004,0.09684000000000001,0.7194247176720626,0.3045250478879704,11.8,4.6802340000000004,0.3781792994178377,0.691150383789753,0.6887595311155374,-0.539961237335735,-0.5995205980600531,-0.595187670010521,0.24569411444238803,0.3776740142136399
0.56,0.39663000000000004,0.12912,0.6474822459048563,0.35674529910764075,11.9,4.7198970000000005,0.4313706410462962,0.6623524511318495,0.6376669823381258,-0.2999784651865056,-0.44964044854503893,-0.678901481785271,0.2781319992161037,0.43087769411236837
0.64,0.3729,0.11028999999999999,0.6474822459048563,0.4105014400690663,11.9,4.4375100000000005,0.48020601659193785,0.6431538293599122,0.580135294029894,-0.5399612373357652,-0.29976029903002566,-0.755759769454218,0.30719100861736615,0.47978658140725045
0.72,0.34125999999999995,0.12104999999999999,0.5995205980600522,0.45964991180522663,11.9,4.060994,0.5241922880910792,0.5759586531581271,0.516745419225451,-0.839939702522277,-0.8992808970900765,-0.8249864206387931,0.33271045386599274,0.5238948423943378
0.8,0.34125999999999995,0.14795,0.5035973023704439,0.5026548245743667,11.9,4.060994,0.56288528366801,0.5087634769563478,0.4481374667276872,-0.899935395559559,-0.8992808970900779,-0.8858823869664385,0.3546035280758852,0.5627367607142849
0.88,0.30171,0.13719,0.45563565452563964,0.5410520681182422,11.9,3.590349,0.5958942827675091,0.43196898986859766,0.3750042373108209,-0.839939702522289,-0.7494007475750659,-0.9378327430373652,0.37284240139678626,0.5958960575303606
0.96,0.27798,0.14526,0.3836931827584334,0.5717698629533423,11.9,3.3079620000000003,0.6228859616377413,0.3743731245527817,0.29808422784170885,-0.8399397025222686,-0.749400747575065,-0.9803128959203375,0.3874411262095618,0.6230149338777794
1.04,0.2373,0.12912,0.3357315349136292,0.6009517680466874,11.9,2.8238700000000003,0.6435877592221826,0.29757863746503466,0.21815417396356684,-1.1399181677087884,-0.8992808970900772,-1.012893882474288,0.39843807336165404,0.6438005532114245
1.12,0.20565999999999998,0.15333,0.2398082392240209,0.6193824449477479,11.9,2.447354,0.657790629471912,0.1919862177193754,0.13602120664582262,-1.0799224746715017,-1.1990411961201048,-1.035246701003515,0.40587953111110175,0.658024698917282
1.2,0.18193,0.16947,0.14388494353441253,0.6316695628817874,11.9,2.1649670000000003,0.6653511522855143,0.12479104151759435,0.05251470180300455,-0.8999353955595538,-0.8992808970900796,-1.0471456335056701,0.4098058913674835,0.6655475514245176
1.28,0.15029,0.17754,0.09592329568960835,0.6393490115905629,11.9,1.7884510000000002,0.6661929817603928,0.04799655442984685,-0.03152209471508449,-0.779944009484964,-0.8992808970900775,-1.048470524964489,0.4102415584523888,0.6663096497231649
1.36,0.11865,0.14526,0.0,0.6393490115905629,11.9,1.4119350000000002,0.6603076171311008,0.0,-0.11524058219131383,-0.4199698512611702,-0.5995205980600509,-1.0392079966710048,0.40718937527044996,0.6603268184627646
1.44,0.05537,0.06456,0.0,0.6393490115905629,11.9,0.658903,0.6477544886097826,-0.019198621771940427,-0.1977953741824452,-0.7199483164476734,0.0,-1.0194515813213294,0.40062999405165106,0.647686044457026
1.52,-0.04068000000000001,0.029589999999999998,0.0,0.6362772321070524,11.9,-0.48409200000000013,0.6286603572619096,-0.11519173063162791,-0.27835283520272647,-1.4398966328953005,-1.0491610466050905,-0.989400778526702,0.3905262393690453,0.628540125092171
1.6,-0.08023,0.029589999999999998,-0.1678657674568146,0.6209183346895024,11.9,-0.954737,0.6032180349773463,-0.2495820830351887,-0.35609949874671765,-1.439896632895299,-1.7985617941801568,-0.9493590402731433,0.3768321305047393,0.6031016973739561
1.68,-0.12769,0.01614,-0.28776988706882506,0.5963440988214224,11.9,-1.519511,0.5716844374624348,-0.34557519189487573,-0.4302502816464293,-1.0799224746715002,-1.199041196120106,-0.8997307066735938,0.3595058583715944,0.5716373387202018
1.76,-0.15933,0.01345,-0.3597123588360313,0.5656263039863223,11.9,-1.8960270000000001,0.5343779899139176,-0.42236967898262856,-0.5000564118144926,-0.9599310885968957,-0.8992808970900772,-0.8410169229552529,0.33852566313895177,0.5344624819848226
1.84,-0.19097,0.01345,-0.43165483060323756,0.5287649501842018,11.9,-2.272543,0.4916754115721159,-0.49916416607037917,-0.5648129893192699,-0.8399397025222521,-0.8992808970900787,-0.7738105789120433,0.31390725393559904,0.4919378357438969
1.92,-0.2147,0.00807,-0.5035973023704439,0.4857600374150617,11.9,-2.55493,0.44400791162283443,-0.5567600313861889,-0.6238661044404195,-0.6599526234103399,-0.5995205980600531,-0.6987903219235907,0.2857211810943329,0.4444677717976276
2.0,-0.24634,0.0,-0.527578126292846,0.4396833451624116,11.9,-2.931446,0.3918568348616488,-0.6047565858160335,-0.6766194408270443,-0.5399612373357638,-0.5995205980600513,-0.6167137039970951,0.2541084493199976,0.3925006986998841
2.08,-0.2712,0.0,-0.5995205980600522,0.38899898368449626,11.9,-3.22728,0.33574880109050725,-0.6431538293599113,-0.7225402970799548,-0.5999569303730716,-0.7494007475750641,-0.5284095320328337,0.2192926812112807,0.3365308264504582
2.16,-0.30284,-0.00807,-0.6474822459048563,0.3367787324648257,11.9,-3.603796,0.27625038732885593,-0.700749694675725,-0.7611649659522977,-0.6599526234103648,-0.5995205980600513,-0.43476949856025104,0.18158733005783417,0.2771000880989809
2.24,-0.33448,-0.01614,-0.6954438937496605,0.27687903253638013,11.9,-3.980312,0.2139624065381395,-0.7487462491055696,-0.792103416849595,-0.4799655442984365,-0.599520598060054,-0.3367391774571278,0.1413968062819804,0.2147985439073459
2.32,-0.34239,-0.02152,-0.7434055415944647,0.21697933260793478,11.9,-4.074441,0.14951384063292095,-0.7775441817634746,-0.8150432343454379,-0.35997415822380674,-0.4496404485450407,-0.23530847557657975,0.09921090607154728,0.15026158461643468
2.4,-0.35821,-0.03228,-0.7673863655168668,0.15247196345422442,11.9,-4.262699,0.08355548904286969,-0.8063421144213787,-0.8297527729418477,-0.1799870791119007,-0.14988014951501238,-0.13150163670135573,0.05559256889290473,0.08416280184516173
