time,q1_l,q1_r,q2_l,q2_r
0.0,221.23893805309734,221.23893805309734,221.23893805309734,221.23893805309734
0.005,221.23893805200555,221.23893805200555,221.23893805200555,221.23893805200555
0.01,221.23893804873026,221.23893804873026,221.23893804873026,221.23893804873026
0.015,221.2389380432714,221.2389380432714,221.2389380432714,221.2389380432714
0.02,221.238938035629,221.238938035629,221.238938035629,221.238938035629
0.025,221.23893802580307,221.23893802580307,221.23893802580307,221.23893802580307
0.03,221.2389380137936,221.2389380137936,221.2389380137936,221.2389380137936
0.035,221.23893799960055,221.23893799960055,221.23893799960055,221.23893799960055
0.04,221.23893798322402,221.23893798322402,221.23893798322402,221.23893798322402
0.045,221.23893796466393,221.23893796466393,221.23893796466393,221.23893796466393
0.05,221.2389379439203,221.2389379439203,221.2389379439203,221.2389379439203
0.055,221.2389379209931,221.2389379209931,221.2389379209931,221.2389379209931
0.06,221.23893789588237,221.23893789588237,221.23893789588237,221.23893789588237
0.065,221.23893786858815,221.23893786858815,221.23893786858815,221.23893786858815
0.07,221.23893783911032,221.23893783911032,221.23893783911032,221.23893783911032
0.075,221.238937807449,221.238937807449,221.238937807449,221.238937807449
0.08,221.2389377736041,221.2389377736041,221.2389377736041,221.2389377736041
0.085,221.23893773757567,221.23893773757567,221.23893773757567,221.23893773757567
0.09,221.2389376993637,221.2389376993637,221.2389376993637,221.2389376993637
0.095,221.2389376589682,221.2389376589682,221.2389376589682,221.2389376589682
0.1,221.23893761638917,221.23893761638917,221.23893761638917,221.23893761638917
0.105,221.2389375716266,221.2389375716266,221.2389375716266,221.2389375716266
0.11,221.23893752468047,221.23893752468047,221.23893752468047,221.23893752468047
0.115,221.23893747555078,221.23893747555078,221.23893747555078,221.23893747555078
0.12,221.2389374242376,221.2389374242376,221.2389374242376,221.2389374242376
0.125,221.23893737074084,221.23893737074084,221.23893737074084,221.23893737074084
0.13,221.23893731506053,221.23893731506053,221.23893731506053,221.23893731506053
0.135,221.2389372571967,221.2389372571967,221.2389372571967,221.2389372571967
0.14,221.23893719714934,221.23893719714934,221.23893719714934,221.23893719714934
0.145,221.23893713491842,221.23893713491842,221.23893713491842,221.23893713491842
0.15,221.23893707050397,221.23893707050397,221.23893707050397,221.23893707050397
0.155,221.238937003906,221.238937003906,221.238937003906,221.238937003906
0.16,221.23893693512443,221.23893693512443,221.23893693512443,221.23893693512443
0.165,221.23893686415937,221.23893686415937,221.23893686415937,221.23893686415937
0.17,221.23893679101076,221.23893679101076,221.23893679101076,221.23893679101076
0.17500000000000002,221.2389367156786,221.2389367156786,221.2389367156786,221.2389367156786
0.18,221.2389366381629,221.2389366381629,221.2389366381629,221.2389366381629
0.185,221.23893655846368,221.23893655846368,221.23893655846368,221.23893655846368
0.19,221.2389364765809,221.2389364765809,221.2389364765809,221.2389364765809
0.195,221.23893639251455,221.23893639251455,221.23893639251455,221.23893639251455
