Column1,Column2,Column3,Column4,Column5
0.0,6.941666666666666,6.941666666666666,6.941666666666666,6.941666666666666
0.005,-0.24791666666666742,-0.24791666666666742,-0.24791666666666742,-0.24791666666666742
0.01,-7.437500000000001,-7.437500000000001,-7.437500000000001,-7.437500000000001
0.015,-14.627083333333335,-14.627083333333335,-14.627083333333335,-14.627083333333335
0.02,-21.816666666666666,-21.816666666666666,-21.816666666666666,-21.816666666666666
0.025,-39.170833333333334,-39.170833333333334,-39.170833333333334,-39.170833333333334
0.03,-56.525000000000006,-56.525000000000006,-56.525000000000006,-56.525000000000006
0.035,-73.87916666666666,-73.87916666666666,-73.87916666666666,-73.87916666666666
0.04,-91.23333333333333,-91.23333333333333,-91.23333333333333,-91.23333333333333
0.045,-105.11666666666667,-105.11666666666667,-105.11666666666667,-105.11666666666667
0.05,-119.0,-119.0,-119.0,-119.0
0.055,-132.88333333333333,-132.88333333333333,-132.88333333333333,-132.88333333333333
0.06,-146.76666666666665,-146.76666666666665,-146.76666666666665,-146.76666666666665
0.065,-160.65,-160.65,-160.65,-160.65
0.07,-174.5333333333333,-174.5333333333333,-174.5333333333333,-174.5333333333333
0.075,-188.41666666666663,-188.41666666666663,-188.41666666666663,-188.41666666666663
0.08,-202.29999999999998,-202.29999999999998,-202.29999999999998,-202.29999999999998
0.085,-211.225,-211.225,-211.225,-211.225
0.09,-220.15,-220.15,-220.15,-220.15
0.095,-229.07499999999996,-229.07499999999996,-229.07499999999996,-229.07499999999996
0.1,-237.99999999999997,-237.99999999999997,-237.99999999999997,-237.99999999999997
0.105,-241.4708333333333,-241.4708333333333,-241.4708333333333,-241.4708333333333
0.11,-244.94166666666666,-244.94166666666666,-244.94166666666666,-244.94166666666666
0.115,-248.4125,-248.4125,-248.4125,-248.4125
0.12,-251.88333333333333,-251.88333333333333,-251.88333333333333,-251.88333333333333
0.125,-251.88333333333333,-251.88333333333333,-251.88333333333333,-251.88333333333333
0.13,-251.88333333333333,-251.88333333333333,-251.88333333333333,-251.88333333333333
0.135,-251.88333333333333,-251.88333333333333,-251.88333333333333,-251.88333333333333
0.14,-251.88333333333333,-251.88333333333333,-251.88333333333333,-251.88333333333333
0.145,-250.14791666666665,-250.14791666666665,-250.14791666666665,-250.14791666666665
0.15,-248.4125,-248.4125,-248.4125,-248.4125
0.155,-246.67708333333337,-246.67708333333337,-246.67708333333337,-246.67708333333337
0.16,-244.9416666666667,-244.9416666666667,-244.9416666666667,-244.9416666666667
0.165,-241.47083333333336,-241.47083333333336,-241.47083333333336,-241.47083333333336
0.17,-238.0,-238.0,-238.0,-238.0
0.175,-234.52916666666667,-234.52916666666667,-234.52916666666667,-234.52916666666667
0.18,-231.05833333333334,-231.05833333333334,-231.05833333333334,-231.05833333333334
0.185,-227.33958333333334,-227.33958333333334,-227.33958333333334,-227.33958333333334
0.19,-223.62083333333334,-223.62083333333334,-223.62083333333334,-223.62083333333334
0.195,-219.90208333333334,-219.90208333333334,-219.90208333333334,-219.90208333333334
0.2,-216.18333333333334,-216.18333333333334,-216.18333333333334,-216.18333333333334
0.205,-214.44791666666666,-214.44791666666666,-214.44791666666666,-214.44791666666666
0.21,-212.71249999999998,-212.71249999999998,-212.71249999999998,-212.71249999999998
0.215,-210.97708333333333,-210.97708333333333,-210.97708333333333,-210.97708333333333
0.22,-209.24166666666665,-209.24166666666665,-209.24166666666665,-209.24166666666665
0.225,-209.24166666666665,-209.24166666666665,-209.24166666666665,-209.24166666666665
0.23,-209.24166666666665,-209.24166666666665,-209.24166666666665,-209.24166666666665
0.235,-209.24166666666665,-209.24166666666665,-209.24166666666665,-209.24166666666665
0.24,-209.24166666666665,-209.24166666666665,-209.24166666666665,-209.24166666666665
0.245,-210.97708333333333,-210.97708333333333,-210.97708333333333,-210.97708333333333
0.25,-212.71249999999998,-212.71249999999998,-212.71249999999998,-212.71249999999998
0.255,-214.44791666666666,-214.44791666666666,-214.44791666666666,-214.44791666666666
0.26,-216.18333333333334,-216.18333333333334,-216.18333333333334,-216.18333333333334
0.265,-214.44791666666666,-214.44791666666666,-214.44791666666666,-214.44791666666666
0.27,-212.71249999999998,-212.71249999999998,-212.71249999999998,-212.71249999999998
0.275,-210.97708333333333,-210.97708333333333,-210.97708333333333,-210.97708333333333
0.28,-209.24166666666665,-209.24166666666665,-209.24166666666665,-209.24166666666665
0.285,-210.97708333333333,-210.97708333333333,-210.97708333333333,-210.97708333333333
0.29,-212.71249999999998,-212.71249999999998,-212.71249999999998,-212.71249999999998
0.295,-214.44791666666666,-214.44791666666666,-214.44791666666666,-214.44791666666666
0.3,-216.18333333333334,-216.18333333333334,-216.18333333333334,-216.18333333333334
0.305,-214.44791666666666,-214.44791666666666,-214.44791666666666,-214.44791666666666
0.31,-212.71249999999998,-212.71249999999998,-212.71249999999998,-212.71249999999998
0.315,-210.97708333333333,-210.97708333333333,-210.97708333333333,-210.97708333333333
0.32,-209.24166666666665,-209.24166666666665,-209.24166666666665,-209.24166666666665
0.325,-207.50625,-207.50625,-207.50625,-207.50625
0.33,-205.77083333333334,-205.77083333333334,-205.77083333333334,-205.77083333333334
0.335,-204.03541666666666,-204.03541666666666,-204.03541666666666,-204.03541666666666
0.34,-202.29999999999998,-202.29999999999998,-202.29999999999998,-202.29999999999998
0.345,-204.03541666666666,-204.03541666666666,-204.03541666666666,-204.03541666666666
0.35,-205.77083333333334,-205.77083333333334,-205.77083333333334,-205.77083333333334
0.355,-207.50625,-207.50625,-207.50625,-207.50625
0.36,-209.24166666666665,-209.24166666666665,-209.24166666666665,-209.24166666666665
0.365,-207.50625,-207.50625,-207.50625,-207.50625
0.37,-205.77083333333334,-205.77083333333334,-205.77083333333334,-205.77083333333334
0.375,-204.03541666666666,-204.03541666666666,-204.03541666666666,-204.03541666666666
0.38,-202.29999999999998,-202.29999999999998,-202.29999999999998,-202.29999999999998
0.385,-202.29999999999998,-202.29999999999998,-202.29999999999998,-202.29999999999998
0.39,-202.29999999999998,-202.29999999999998,-202.29999999999998,-202.29999999999998
