Column1,Column2,Column3,Column4,Column5
0.0,-7.933333333333332,-7.933333333333332,-7.933333333333332,-7.933333333333332
0.005,-21.816666666666663,-21.816666666666663,-21.816666666666663,-21.816666666666663
0.01,-35.699999999999996,-35.699999999999996,-35.699999999999996,-35.699999999999996
0.015,-49.58333333333332,-49.58333333333332,-49.58333333333332,-49.58333333333332
0.02,-63.466666666666654,-63.466666666666654,-63.466666666666654,-63.466666666666654
0.025,-73.87916666666666,-73.87916666666666,-73.87916666666666,-73.87916666666666
0.03,-84.29166666666666,-84.29166666666666,-84.29166666666666,-84.29166666666666
0.035,-94.70416666666665,-94.70416666666665,-94.70416666666665,-94.70416666666665
0.04,-105.11666666666666,-105.11666666666666,-105.11666666666666,-105.11666666666666
0.045,-113.79374999999999,-113.79374999999999,-113.79374999999999,-113.79374999999999
0.05,-122.47083333333333,-122.47083333333333,-122.47083333333333,-122.47083333333333
0.055,-131.14791666666667,-131.14791666666667,-131.14791666666667,-131.14791666666667
0.06,-139.825,-139.825,-139.825,-139.825
0.065,-143.29583333333332,-143.29583333333332,-143.29583333333332,-143.29583333333332
0.07,-146.76666666666665,-146.76666666666665,-146.76666666666665,-146.76666666666665
0.075,-150.23749999999998,-150.23749999999998,-150.23749999999998,-150.23749999999998
0.08,-153.70833333333331,-153.70833333333331,-153.70833333333331,-153.70833333333331
0.085,-158.91458333333333,-158.91458333333333,-158.91458333333333,-158.91458333333333
0.09,-164.12083333333334,-164.12083333333334,-164.12083333333334,-164.12083333333334
0.095,-169.32708333333335,-169.32708333333335,-169.32708333333335,-169.32708333333335
0.1,-174.53333333333333,-174.53333333333333,-174.53333333333333,-174.53333333333333
0.105,-174.53333333333333,-174.53333333333333,-174.53333333333333,-174.53333333333333
0.11,-174.53333333333333,-174.53333333333333,-174.53333333333333,-174.53333333333333
0.115,-174.53333333333333,-174.53333333333333,-174.53333333333333,-174.53333333333333
0.12,-174.53333333333333,-174.53333333333333,-174.53333333333333,-174.53333333333333
0.125,-174.53333333333333,-174.53333333333333,-174.53333333333333,-174.53333333333333
0.13,-174.53333333333333,-174.53333333333333,-174.53333333333333,-174.53333333333333
0.135,-174.53333333333333,-174.53333333333333,-174.53333333333333,-174.53333333333333
0.14,-174.53333333333333,-174.53333333333333,-174.53333333333333,-174.53333333333333
0.145,-172.79791666666668,-172.79791666666668,-172.79791666666668,-172.79791666666668
