time,q1_l,q1_r,q2_l,q2_r,ZMPx,ZMPy,CoMx,CoMy,CoMz
0.0,-9.710995236267613e-9,-9.710995236267613e-9,2.1073424255447017e-8,2.1073424255447017e-8,0.0,1.18,0.0,1.18,0.21902787835056647
0.02,-0.010702529016172906,-0.010702529016172906,0.02322519843436284,0.02322519843436284,0.0,1.18,0.0,1.1799924832362192,0.2190111006646478
0.04,-0.02126005774958642,-0.02126005774958642,0.04613625308504743,0.04613625308504743,0.0,1.18,0.0,1.1799482397233925,0.2189616745088333
0.06,-0.031671200933814835,-0.031671200933814835,0.0687306348971579,0.0687306348971579,0.0,1.18,0.0,1.1798668142169002,0.21888096023603537
0.08,-0.041934521484227556,-0.041934521484227556,0.09100566185252355,0.09100566185252355,0.0,1.18,0.0,1.1797670778249616,0.21877031819916629
0.1,-0.05204852870122413,-0.05204852870122413,0.11295849624305565,0.11295849624305565,0.0,1.18,0.0,1.1796688302752618,0.21863110875113836
0.12,-0.06201167640049293,-0.06201167640049293,0.13458614167676383,0.13458614167676383,0.0,1.18,0.0,1.1795854592698387,0.21846469224486392
0.14,-0.07182236095880977,-0.07182236095880977,0.15588543980212888,0.15588543980212888,0.0,1.18,0.0,1.1795229486654497,0.21827242903325536
0.16,-0.08147891926346676,-0.08147891926346676,0.17685306673502985,0.17685306673502985,0.0,1.18,0.0,1.1794816633727452,0.2180556794692249
0.18,-0.09097962655257875,-0.09097962655257875,0.197485529170099,0.197485529170099,0.0,1.18,0.0,1.1794587423901024,0.21781580390568495
0.2,-0.10032269413279415,-0.10032269413279415,0.21777916015640467,0.21777916015640467,0.0,1.18,0.0,1.1794500707465518,0.21755416269554778
0.22,-0.10950626695999288,-0.10950626695999288,0.23773011451495862,0.23773011451495862,0.0,1.18,0.0,1.1794515321577517,0.21727211619172573
0.24,-0.11852842106742466,-0.11852842106742466,0.25733436387280295,0.25733436387280295,0.0,1.18,0.0,1.1794596170363998,0.21697102474713115
0.26,-0.12738716082453633,-0.12738716082453633,0.27658769128558985,0.27658769128558985,0.0,1.18,0.0,1.1794715902824897,0.2166522487146763
0.28,-0.13608041600828502,-0.13608041600828502,0.2954856854172282,0.2954856854172282,0.0,1.18,0.0,1.1794854208186243,0.21631714844727362
0.3,-0.14460603866710703,-0.14460603866710703,0.31402373424149577,0.31402373424149577,0.0,1.18,0.0,1.1794996198228747,0.21596708429783534
0.32,-0.15296179975589486,-0.15296179975589486,0.33219701822647524,0.33219701822647524,0.0,1.18,0.0,1.1795130730757257,0.2156034166192738
0.34,-0.1611453855182103,-0.1611453855182103,0.3500005029579866,0.3500005029579866,0.0,1.18,0.0,1.1795249050437535,0.21522750576450134
0.36,-0.16915439358961393,-0.16915439358961393,0.36742893115305686,0.36742893115305686,0.0,1.18,0.0,1.1795343827840679,0.21484071208643027
0.38,-0.17698632879329682,-0.17698632879329682,0.3844768140086058,0.3844768140086058,0.0,1.18,0.0,1.1795408534413292,0.21444439593797293
0.4,-0.18463859859613865,-0.18463859859613865,0.40113842182388615,0.40113842182388615,0.0,1.18,0.0,1.1795437047591966,0.2140399176720416
0.42,-0.19210850818988442,-0.19210850818988442,0.41740777382779154,0.41740777382779154,0.0,1.18,0.0,1.1795423388716832,0.21362863764154874
0.44,-0.19939325515815057,-0.19939325515815057,0.4332786271335416,0.4332786271335416,0.0,1.18,0.0,1.1795361523723855,0.21321191619940652
0.46,-0.20648992368551253,-0.20648992368551253,0.44874446473361446,0.44874446473361446,0.0,1.18,0.0,1.1795245184421057,0.21279111369852732
0.48,-0.21339547825980315,-0.21339547825980315,0.4637984824367357,0.4637984824367357,0.0,1.18,0.0,1.1795067688874417,0.21236759049182352
0.5,-0.22010675681287178,-0.22010675681287178,0.478433574636008,0.478433574636008,0.0,1.18,0.0,1.1794821751806708,0.21194270693220732
0.52,-0.22662046323833887,-0.22662046323833887,0.49264231878274894,0.49264231878274894,0.0,1.18,0.0,1.1794499281627528,0.21151782337259117
0.54,-0.23293315921716481,-0.23293315921716481,0.5064169584238856,0.5064169584238856,0.0,1.18,0.0,1.1794091162226017,0.21109430016588732
0.56,-0.23904125527291062,-0.23904125527291062,0.5197493846413773,0.5197493846413773,0.0,1.18,0.0,1.179358701718185,0.21067349766500817
0.58,-0.2449410009682913,-0.2449410009682913,0.532631115709849,0.532631115709849,0.0,1.18,0.0,1.179297495323512,0.21025677622286593
0.6,-0.25062847414263195,-0.25062847414263195,0.5450532747625806,0.5450532747625806,0.0,1.18,0.0,1.1792241279822644,0.20984549619237303
0.62,-0.2560995690759355,-0.2560995690759355,0.5570065652258085,0.5570065652258085,0.0,1.18,0.0,1.1791370202918503,0.20944101792644176
0.64,-0.26134998344901966,-0.26134998344901966,0.5684812437459678,0.5684812437459678,0.0,1.18,0.0,1.1790343494500255,0.20904470177798443
0.66,-0.2663752039501018,-0.2663752039501018,0.5794670902930276,0.5794670902930276,0.0,1.18,0.0,1.178914014308766,0.20865790809991336
0.68,-0.2711704903558277,-0.2711704903558277,0.5899533750743963,0.5899533750743963,0.0,1.18,0.0,1.1787735993964197,0.20828199724514088
0.7,-0.2757308578882465,-0.2757308578882465,0.5999288218362452,0.5999288218362452,0.0,1.18,0.0,1.1786103385754367,0.20791832956657935
0.72,-0.2800510576178693,-0.2800510576178693,0.609381567060888,0.609381567060888,0.0,1.18,0.0,1.1784210776199624,0.20756826541714105
0.74,-0.2841255546455592,-0.2841255546455592,0.6182991144875407,0.6182991144875407,0.0,1.18,0.0,1.1782022315252234,0.20723316514973833
0.76,-0.28794850375134207,-0.28794850375134207,0.6266682842866773,0.6266682842866773,0.0,1.18,0.0,1.177949725935426,0.20691438911728352
0.78,-0.2915137221445106,-0.2915137221445106,0.6344751561014432,0.6344751561014432,0.0,1.18,0.0,1.177658902488983,0.2066132976726889
0.8,-0.2948146588846109,-0.2948146588846109,0.6417050050287983,0.6417050050287983,0.0,1.18,0.0,1.1773243566764102,0.20633125116886689
0.82,-0.2978443604642669,-0.2978443604642669,0.6483422294422517,0.6483422294422517,0.0,1.18,0.0,1.1769396688748845,0.20606960995872972
0.84,-0.3005954319489145,-0.3005954319489145,0.6543702693498346,0.6543702693498346,0.0,1.18,0.0,1.1764969945252342,0.20582973439518976
0.86,-0.3030599929508997,-0.3030599929508997,0.6597715137256389,0.6597715137256389,0.0,1.18,0.0,1.1759865139488377,0.2056129848311593
0.88,-0.3052296275703588,-0.3052296275703588,0.6645271949385412,0.6645271949385412,0.0,1.18,0.0,1.1753958265134727,0.20542072161955074
0.9,-0.30709532725517835,-0.30709532725517835,0.6686172680109903,0.6686172680109903,0.0,1.18,5.145595102812588e-23,1.174709525793234,0.2052543051132763
0.92,-0.30864722832737185,-0.30864722832737185,0.6720202719528526,0.6720202719528526,0.0,1.18,6.94372050762101e-8,1.173909458259458,0.20511509566524838
0.94,-0.30987393934217566,-0.30987393934217566,0.6747131697952226,0.6747131697952226,0.0,1.18,5.574557387199159e-7,1.1729764129008988,0.2050044536283793
0.96,-0.310763093936462,-0.310763093936462,0.676671163145486,0.676671163145486,0.0,1.18,1.8670597272773506e-6,1.1718937012591402,0.20492373935558134
0.98,-0.31130173575906017,-0.31130173575906017,0.6778674761170559,0.6778674761170559,0.0,1.18,4.284238638874614e-6,1.1706535912796416,0.20487431319976687
1.0,-0.31147627326213007,-0.31147627326213007,0.6782731022768392,0.6782731022768392,0.0,1.18,7.952741081748308e-6,1.1692663640926595,0.2048575355138482
1.02,-0.3114621853294172,-0.3114621853294172,0.6782730998941195,0.6782730998941195,0.0,1.18,1.291307182297994e-5,1.167769531948852,0.2048575355138482
1.04,-0.3114444533697014,-0.3114444533697014,0.6782730952849972,0.6782730952849972,0.0,1.154,1.915619810988379e-5,1.16623110385176,0.2048575355138482
1.06,-0.31164286492598897,-0.31142311583093685,0.6786274827960607,0.6782730873601043,0.0,1.154,2.6668406557814178e-5,1.1647356839452614,0.2048575355138482
1.08,-0.31336827237615533,-0.31139814161405954,0.6814463921220444,0.6782730747850663,0.0,1.154,3.546043369519281e-5,1.1633512912111923,0.2048575355138482
1.1,-0.31680021841879175,-0.3113693872763148,0.6869986897710411,0.6782730559002623,0.0,1.154,4.558252286219553e-5,1.1621154380847636,0.2048575355138482
1.12,-0.3218609293522778,-0.31133658099753675,0.6951190414962496,0.6782730285954206,0.0,1.154,5.713004995537146e-5,1.1610383641798556,0.2048575355138482
1.1400000000000001,-0.32843994310394403,-0.31129932020848106,0.7055730852679059,0.6782729901403453,0.0,1.154,7.024433138122575e-5,1.160112228859033,0.2048575355138482
1.1600000000000001,-0.3364004447436529,-0.3112570732765985,0.7180714592051398,0.6782729369664119,0.0,1.154,8.511199538376993e-5,1.1593201842570573,0.2048575355138482
1.18,-0.3455861763413424,-0.3112091795735287,0.7322851733546971,0.6782728643854993,0.0,1.154,0.00010196491317071724,1.1586429222864967,0.2048575355138482
