Column1,Column2,Column3,Column4,Column5
time,q1_l,q1_r,q2_l,q2_r
0.0,0.0,0.0,0.0,0.0
0.02,9.75,9.75,9.75,9.75
0.04,19.5,19.5,19.5,19.5
0.06,29.249999999999996,29.249999999999996,29.249999999999996,29.249999999999996
0.08,39.0,39.0,39.0,39.0
0.1,40.0,40.0,40.0,40.0
0.12,41.0,41.0,41.0,41.0
0.14,42.0,42.0,42.0,42.0
0.16,43.0,43.0,43.0,43.0
0.18,37.0,37.0,37.0,37.0
0.2,30.999999999999996,30.999999999999996,30.999999999999996,30.999999999999996
0.22,24.999999999999996,24.999999999999996,24.999999999999996,24.999999999999996
0.24,19.0,19.0,19.0,19.0
0.26,23.750000000000007,23.750000000000007,23.750000000000007,23.750000000000007
0.28,28.500000000000007,28.500000000000007,28.500000000000007,28.500000000000007
0.3,33.25,33.25,33.25,33.25
0.32,38.0,38.0,38.0,38.0
0.34,39.25000000000001,39.25000000000001,39.25000000000001,39.25000000000001
0.36,40.5,40.5,40.5,40.5
0.38,41.75,41.75,41.75,41.75
0.4,43.0,43.0,43.0,43.0
0.42,41.25,41.25,41.25,41.25
0.44,39.5,39.5,39.5,39.5
0.46,37.75,37.75,37.75,37.75
0.48,36.0,36.0,36.0,36.0
0.5,39.0,39.0,39.0,39.0
0.52,42.0,42.0,42.0,42.0
0.54,45.00000000000001,45.00000000000001,45.00000000000001,45.00000000000001
0.56,48.0,48.0,48.0,48.0
0.58,46.25000000000001,46.25000000000001,46.25000000000001,46.25000000000001
0.6,44.50000000000001,44.50000000000001,44.50000000000001,44.50000000000001
0.62,42.75,42.75,42.75,42.75
0.64,41.0,41.0,41.0,41.0
0.66,42.0,42.0,42.0,42.0
0.68,43.0,43.0,43.0,43.0
0.7000000000000001,44.00000000000001,44.00000000000001,44.00000000000001,44.00000000000001
0.72,45.0,45.0,45.0,45.0
0.74,47.5,47.5,47.5,47.5
0.76,50.0,50.0,50.0,50.0
0.78,52.5,52.5,52.5,52.5
0.8,55.0,55.0,55.0,55.0
0.8200000000000001,54.0,54.0,54.0,54.0
0.84,53.0,53.0,53.0,53.0
0.86,52.0,52.0,52.0,52.0
0.88,51.0,51.0,51.0,51.0
0.9,51.75000000000001,51.75000000000001,51.75000000000001,51.75000000000001
0.92,52.50000000000001,52.50000000000001,52.50000000000001,52.50000000000001
0.9400000000000001,53.250000000000014,53.250000000000014,53.250000000000014,53.250000000000014
0.96,54.0,54.0,54.0,54.0
0.98,52.5,52.5,52.5,52.5
1.0,51.0,51.0,51.0,51.0
1.02,49.500000000000014,49.500000000000014,49.500000000000014,49.500000000000014
1.04,48.0,48.0,48.0,48.0
1.06,50.25000000000001,50.25000000000001,50.25000000000001,50.25000000000001
1.08,52.5,52.5,52.5,52.5
1.1,54.75,54.75,54.75,54.75
1.12,56.99999999999999,56.99999999999999,56.99999999999999,56.99999999999999
1.1400000000000001,58.50000000000001,58.50000000000001,58.50000000000001,58.50000000000001
1.16,59.99999999999999,59.99999999999999,59.99999999999999,59.99999999999999
1.18,61.5,61.5,61.5,61.5
1.2,63.0,63.0,63.0,63.0
1.22,63.75000000000001,63.75000000000001,63.75000000000001,63.75000000000001
1.24,64.50000000000001,64.50000000000001,64.50000000000001,64.50000000000001
1.26,65.25,65.25,65.25,65.25
1.28,66.0,66.0,66.0,66.0
1.3,63.0,63.0,63.0,63.0
1.32,59.99999999999999,59.99999999999999,59.99999999999999,59.99999999999999
1.34,56.99999999999999,56.99999999999999,56.99999999999999,56.99999999999999
1.36,54.0,54.0,54.0,54.0
1.3800000000000001,46.499999999999986,46.499999999999986,46.499999999999986,46.499999999999986
1.4000000000000001,38.999999999999964,38.999999999999964,38.999999999999964,38.999999999999964
1.42,31.50000000000002,31.50000000000002,31.50000000000002,31.50000000000002
1.44,24.0,24.0,24.0,24.0
1.46,20.75,20.75,20.75,20.75
1.48,17.5,17.5,17.5,17.5
1.5,14.250000000000002,14.250000000000002,14.250000000000002,14.250000000000002
1.52,11.0,11.0,11.0,11.0
1.54,11.0,11.0,11.0,11.0
1.56,11.0,11.0,11.0,11.0
1.58,11.0,11.0,11.0,11.0
1.6,11.0,11.0,11.0,11.0
1.62,9.749999999999996,9.749999999999996,9.749999999999996,9.749999999999996
1.6400000000000001,8.499999999999995,8.499999999999995,8.499999999999995,8.499999999999995
1.6600000000000001,7.24999999999999,7.24999999999999,7.24999999999999,7.24999999999999
1.68,6.0,6.0,6.0,6.0
1.7,5.750000000000001,5.750000000000001,5.750000000000001,5.750000000000001
1.72,5.500000000000001,5.500000000000001,5.500000000000001,5.500000000000001
1.74,5.25,5.25,5.25,5.25
1.76,5.0,5.0,5.0,5.0
1.78,5.0,5.0,5.0,5.0
1.8,5.0,5.0,5.0,5.0
1.82,5.0,5.0,5.0,5.0
1.84,5.0,5.0,5.0,5.0
1.86,4.499999999999998,4.499999999999998,4.499999999999998,4.499999999999998
1.8800000000000001,3.9999999999999973,3.9999999999999973,3.9999999999999973,3.9999999999999973
1.9000000000000001,3.499999999999996,3.499999999999996,3.499999999999996,3.499999999999996
1.92,3.0,3.0,3.0,3.0
1.94,2.25,2.25,2.25,2.25
1.96,1.5,1.5,1.5,1.5
1.98,0.75,0.75,0.75,0.75
2.0,0.0,0.0,0.0,0.0
2.02,0.0,0.0,0.0,0.0
2.04,0.0,0.0,0.0,0.0
2.06,0.0,0.0,0.0,0.0
2.08,0.0,0.0,0.0,0.0
2.1,-0.75,-0.75,-0.75,-0.75
2.12,-1.5,-1.5,-1.5,-1.5
2.14,-2.25,-2.25,-2.25,-2.25
2.16,-3.0,-3.0,-3.0,-3.0
2.18,-3.75,-3.75,-3.75,-3.75
2.2,-4.5,-4.5,-4.5,-4.5
2.22,-5.25,-5.25,-5.25,-5.25
2.24,-6.0,-6.0,-6.0,-6.0
2.2600000000000002,-6.500000000000003,-6.500000000000003,-6.500000000000003,-6.500000000000003
2.2800000000000002,-7.000000000000006,-7.000000000000006,-7.000000000000006,-7.000000000000006
2.3000000000000003,-7.500000000000008,-7.500000000000008,-7.500000000000008,-7.500000000000008
2.32,-8.0,-8.0,-8.0,-8.0
2.34,-9.0,-9.0,-9.0,-9.0
2.36,-10.0,-10.0,-10.0,-10.0
2.38,-11.000000000000002,-11.000000000000002,-11.000000000000002,-11.000000000000002
2.4,-12.0,-12.0,-12.0,-12.0
2.42,-12.25,-12.25,-12.25,-12.25
2.44,-12.5,-12.5,-12.5,-12.5
2.46,-12.75,-12.75,-12.75,-12.75
2.48,-13.0,-13.0,-13.0,-13.0
2.5,-14.250000000000002,-14.250000000000002,-14.250000000000002,-14.250000000000002
2.52,-15.5,-15.5,-15.5,-15.5
2.54,-16.75,-16.75,-16.75,-16.75
2.56,-18.0,-18.0,-18.0,-18.0
2.58,-19.25,-19.25,-19.25,-19.25
2.6,-20.5,-20.5,-20.5,-20.5
2.62,-21.75,-21.75,-21.75,-21.75
2.64,-23.0,-23.0,-23.0,-23.0
2.66,-22.75,-22.75,-22.75,-22.75
2.68,-22.5,-22.5,-22.5,-22.5
2.7,-22.25,-22.25,-22.25,-22.25
2.72,-22.0,-22.0,-22.0,-22.0
2.74,-22.750000000000004,-22.750000000000004,-22.750000000000004,-22.750000000000004
2.7600000000000002,-23.5,-23.5,-23.5,-23.5
2.7800000000000002,-24.25,-24.25,-24.25,-24.25
2.8000000000000003,-25.0,-25.0,-25.0,-25.0
2.82,-26.249999999999982,-26.249999999999982,-26.249999999999982,-26.249999999999982
2.84,-27.49999999999999,-27.49999999999999,-27.49999999999999,-27.49999999999999
2.86,-28.749999999999996,-28.749999999999996,-28.749999999999996,-28.749999999999996
2.88,-30.0,-30.0,-30.0,-30.0
