time,q1_l,q1_r,q2_l,q2_r
0.0,0.0,0.0,0.0,0.0
0.005,0.8673774635017545,0.8673774635017545,0.8673774635017545,0.8673774635017545
0.01,1.7345587572298329,1.7345587572298329,1.7345587572298329,1.7345587572298329
0.015,2.6013477901953297,2.6013477901953297,2.6013477901953297,2.6013477901953297
0.02,3.467548628941724,3.467548628941724,3.467548628941724,3.467548628941724
0.025,4.332965576218185,4.332965576218185,4.332965576218185,4.332965576218185
0.03,5.19740324954147,5.19740324954147,5.19740324954147,5.19740324954147
0.035,6.060666659609377,6.060666659609377,6.060666659609377,6.060666659609377
0.04,6.92256128852875,6.92256128852875,6.92256128852875,6.92256128852875
0.045,7.782893167821202,7.782893167821202,7.782893167821202,7.782893167821202
0.05,8.641468956169739,8.641468956169739,8.641468956169739,8.641468956169739
0.055,9.498096016869699,9.498096016869699,9.498096016869699,9.498096016869699
0.06,10.352582494947471,10.352582494947471,10.352582494947471,10.352582494947471
0.065,11.204737393910747,11.204737393910747,11.204737393910747,11.204737393910747
0.07,12.054370652094079,12.054370652094079,12.054370652094079,12.054370652094079
0.075,12.901293218563923,12.901293218563923,12.901293218563923,12.901293218563923
0.08,13.745317128547383,13.745317128547383,13.745317128547383,13.745317128547383
0.085,14.586255578349226,14.586255578349226,14.586255578349226,14.586255578349226
0.09,15.42392299972202,15.42392299972202,15.42392299972202,15.42392299972202
0.095,16.25813513365433,16.25813513365433,16.25813513365433,16.25813513365433
0.1,17.08870910354253,17.08870910354253,17.08870910354253,17.08870910354253
0.105,17.915463487711715,17.915463487711715,17.915463487711715,17.915463487711715
0.11,18.738218391251923,18.738218391251923,18.738218391251923,18.738218391251923
0.115,19.556795517135857,19.556795517135857,19.556795517135857,19.556795517135857
0.12,20.371018236584906,20.371018236584906,20.371018236584906,20.371018236584906
0.125,21.18071165865062,21.18071165865062,21.18071165865062,21.18071165865062
0.13,21.985702698978987,21.985702698978987,21.985702698978987,21.985702698978987
0.135,22.785820147725598,22.785820147725598,22.785820147725598,22.785820147725598
0.14,23.580894736589904,23.580894736589904,23.580894736589904,23.580894736589904
0.145,24.370759204937478,24.370759204937478,24.370759204937478,24.370759204937478
0.15,25.15524836497937,25.15524836497937,25.15524836497937,25.15524836497937
0.155,25.934199165978463,25.934199165978463,25.934199165978463,25.934199165978463
0.16,26.70745075745289,26.70745075745289,26.70745075745289,26.70745075745289
0.165,27.474844551347385,27.474844551347385,27.474844551347385,27.474844551347385
0.17,28.236224283143624,28.236224283143624,28.236224283143624,28.236224283143624
0.17500000000000002,28.99143607188159,28.99143607188159,28.99143607188159,28.99143607188159
0.18,29.740328479063997,29.740328479063997,29.740328479063997,29.740328479063997
0.185,30.48275256641697,30.48275256641697,30.48275256641697,30.48275256641697
0.19,31.218561952480172,31.218561952480172,31.218561952480172,31.218561952480172
0.195,31.947612868000753,31.947612868000753,31.947612868000753,31.947612868000753
0.2,32.6697642101054,32.6697642101054,32.6697642101054,32.6697642101054
0.20500000000000002,33.38487759522613,33.38487759522613,33.38487759522613,33.38487759522613
0.21,34.09281741075563,34.09281741075563,34.09281741075563,34.09281741075563
0.215,34.7934508654085,34.7934508654085,34.7934508654085,34.7934508654085
0.22,35.48664803826593,35.48664803826593,35.48664803826593,35.48664803826593
0.225,36.1722819264814,36.1722819264814,36.1722819264814,36.1722819264814
0.23,36.85022849162614,36.85022849162614,36.85022849162614,36.85022849162614
0.23500000000000001,37.520366704653426,37.520366704653426,37.520366704653426,37.520366704653426
0.24,38.18257858946178,38.18257858946178,38.18257858946178,38.18257858946178
0.245,38.83674926503759,38.83674926503759,38.83674926503759,38.83674926503759
0.25,39.482766986158516,39.482766986158516,39.482766986158516,39.482766986158516
0.255,40.12052318263983,40.12052318263983,40.12052318263983,40.12052318263983
0.26,40.749912497106315,40.749912497106315,40.749912497106315,40.749912497106315
0.265,41.370832821273474,41.370832821273474,41.370832821273474,41.370832821273474
0.27,41.98318533072216,41.98318533072216,41.98318533072216,41.98318533072216
0.275,42.586874518151795,42.586874518151795,42.586874518151795,42.586874518151795
0.28,43.18180822509788,43.18180822509788,43.18180822509788,43.18180822509788
0.28500000000000003,43.76789767210046,43.76789767210046,43.76789767210046,43.76789767210046
0.29,44.345057487310854,44.345057487310854,44.345057487310854,44.345057487310854
0.295,44.913205733524805,44.913205733524805,44.913205733524805,44.913205733524805
0.3,45.47226393363094,45.47226393363094,45.47226393363094,45.47226393363094
0.305,46.022157094464305,46.022157094464305,46.022157094464305,46.022157094464305
0.31,46.56281372905546,46.56281372905546,46.56281372905546,46.56281372905546
0.315,47.09416587726647,47.09416587726647,47.09416587726647,47.09416587726647
