t,DXL_PWM,DXL_Current,DXL_Velocity,DXL_Position,DXL_Input_Voltage,U
0.0,-0.0056500000000000005,-0.00269,0.0,-0.0871268362595572,11.9,-0.067235
0.02,0.00113,-0.00269,0.0,-0.0871268362595572,11.9,0.013446999999999999
0.04,0.00226,-0.00269,0.0,-0.0871268362595572,11.9,0.026893999999999998
0.06,0.0033900000000000002,-0.00269,0.0,-0.0871268362595572,11.9,0.040341
0.08,0.00452,-0.00269,0.0,-0.0871268362595572,11.9,0.053787999999999996
0.1,0.0056500000000000005,-0.00269,0.0,-0.0871268362595572,11.9,0.067235
0.12,0.0067800000000000004,-0.00269,0.0,-0.0871268362595572,11.9,0.080682
0.14,0.00791,0.0,0.0,-0.0871268362595572,11.9,0.094129
0.16,0.00904,0.0,0.0,-0.0871268362595572,11.9,0.10757599999999999
0.18,0.010170000000000002,0.0,0.0,-0.08559094651780197,11.9,0.12102300000000003
0.2,0.011300000000000001,0.0,0.0,-0.08559094651780197,11.9,0.13447
0.22,0.012430000000000002,0.0,0.0,-0.08559094651780197,11.9,0.14791700000000002
0.24,0.013560000000000001,0.0,0.023980823922402087,-0.08405505677604674,11.9,0.161364
0.26,0.013560000000000001,0.0,0.023980823922402087,-0.08405505677604674,11.9,0.161364
0.28,0.014690000000000002,-0.00269,0.023980823922402087,-0.08251916703429196,11.9,0.17481100000000002
0.3,0.01582,-0.00269,0.023980823922402087,-0.08251916703429196,11.9,0.188258
0.32,0.01695,-0.00269,0.023980823922402087,-0.08098327729253696,11.9,0.201705
0.34,0.01808,-0.00269,0.023980823922402087,-0.07944738755078196,11.9,0.21515199999999998
0.36,0.01808,-0.00269,0.023980823922402087,-0.07791149780902695,11.9,0.21515199999999998
0.38,0.01921,-0.00269,0.047961647844804174,-0.07791149780902695,11.9,0.22859900000000002
0.4,0.020340000000000004,-0.00269,0.047961647844804174,-0.07637560806727195,11.9,0.24204600000000007
0.42,0.020340000000000004,-0.00269,0.047961647844804174,-0.07637560806727195,11.9,0.24204600000000007
0.44,0.021470000000000003,-0.00269,0.047961647844804174,-0.07483971832551695,11.9,0.255493
0.46,0.022600000000000002,-0.00269,0.047961647844804174,-0.07330382858376172,11.9,0.26894
0.48,0.022600000000000002,-0.00269,0.047961647844804174,-0.07176793884200694,11.9,0.26894
0.5,0.02373,-0.00269,0.047961647844804174,-0.07023204910025171,11.9,0.282387
0.52,0.02373,-0.00269,0.047961647844804174,-0.06869615935849693,11.9,0.282387
0.54,0.024860000000000004,-0.00269,0.047961647844804174,-0.06716026961674171,11.9,0.29583400000000004
0.56,0.024860000000000004,-0.00269,0.047961647844804174,-0.06716026961674171,11.9,0.29583400000000004
0.58,0.025990000000000003,-0.00269,0.047961647844804174,-0.06562437987498693,11.9,0.30928100000000003
0.6,0.025990000000000003,-0.00269,0.047961647844804174,-0.06408849013323215,11.9,0.30928100000000003
0.62,0.027120000000000002,-0.00269,0.047961647844804174,-0.06255260039147692,11.9,0.322728
0.64,0.027120000000000002,-0.00269,0.07194247176720626,-0.05948082090796669,11.9,0.322728
0.66,0.027120000000000002,-0.00269,0.07194247176720626,-0.05794493116621191,11.9,0.322728
0.68,0.02825,-0.00269,0.07194247176720626,-0.056409041424456685,11.9,0.336175
0.7000000000000001,0.02825,-0.00269,0.07194247176720626,-0.056409041424456685,11.9,0.336175
0.72,0.02825,-0.00269,0.07194247176720626,-0.054873151682701904,11.9,0.336175
0.74,0.02825,-0.00269,0.07194247176720626,-0.0518013721991919,11.9,0.336175
0.76,0.029380000000000003,0.0,0.07194247176720626,-0.050265482457436894,11.9,0.34962200000000004
0.78,0.029380000000000003,0.0,0.07194247176720626,-0.04872959271568189,11.9,0.34962200000000004
0.8,0.029380000000000003,0.0,0.07194247176720626,-0.047193702973926666,11.9,0.34962200000000004
0.8200000000000001,0.029380000000000003,0.0,0.07194247176720626,-0.047193702973926666,11.9,0.34962200000000004
0.84,0.029380000000000003,0.0,0.07194247176720626,-0.04565781323217144,11.9,0.34962200000000004
0.86,0.029380000000000003,0.0,0.07194247176720626,-0.04412192349041666,11.9,0.34962200000000004
0.88,0.029380000000000003,0.0,0.047961647844804174,-0.04258603374866188,11.9,0.34962200000000004
0.9,0.030510000000000002,0.0,0.047961647844804174,-0.04258603374866188,11.9,0.36306900000000003
0.92,0.030510000000000002,0.0,0.047961647844804174,-0.04105014400690665,11.9,0.36306900000000003
0.9400000000000001,0.030510000000000002,0.0,0.047961647844804174,-0.03951425426515187,11.9,0.36306900000000003
0.96,0.030510000000000002,0.0,0.047961647844804174,-0.037978364523396646,11.9,0.36306900000000003
0.98,0.030510000000000002,0.0,0.047961647844804174,-0.03644247478164164,11.9,0.36306900000000003
1.0,0.030510000000000002,0.0,0.047961647844804174,-0.03644247478164164,11.9,0.36306900000000003
1.02,0.030510000000000002,0.0,0.047961647844804174,-0.03490658503988664,11.9,0.36306900000000003
1.04,0.030510000000000002,0.0,0.047961647844804174,-0.033370695298131636,11.9,0.36306900000000003
1.06,0.030510000000000002,0.0,0.047961647844804174,-0.03183480555637641,11.9,0.36306900000000003
1.08,0.030510000000000002,0.0,0.047961647844804174,-0.03183480555637641,11.9,0.36306900000000003
1.1,0.030510000000000002,0.0,0.047961647844804174,-0.03029891581462163,11.9,0.36306900000000003
1.12,0.030510000000000002,0.0,0.047961647844804174,-0.02876302607286685,11.9,0.36306900000000003
1.1400000000000001,0.030510000000000002,0.0,0.047961647844804174,-0.027227136331111623,11.9,0.36306900000000003
1.16,0.030510000000000002,0.0,0.047961647844804174,-0.025691246589356842,11.9,0.36306900000000003
1.18,0.030510000000000002,0.0,0.047961647844804174,-0.025691246589356842,11.9,0.36306900000000003
1.2,0.030510000000000002,0.0,0.047961647844804174,-0.024155356847601617,11.9,0.36306900000000003
1.22,0.030510000000000002,0.0,0.047961647844804174,-0.021083577364091388,11.9,0.36306900000000003
1.24,0.030510000000000002,0.0,0.047961647844804174,-0.021083577364091388,11.9,0.36306900000000003
1.26,0.030510000000000002,0.0,0.047961647844804174,-0.019547687622336607,11.9,0.36306900000000003
1.28,0.030510000000000002,0.0,0.047961647844804174,-0.018011797880581604,11.9,0.36306900000000003
1.3,0.030510000000000002,0.0,0.047961647844804174,-0.0164759081388266,11.9,0.36306900000000003
1.32,0.030510000000000002,0.0,0.047961647844804174,-0.014940018397071597,11.9,0.36306900000000003
1.34,0.030510000000000002,0.0,0.047961647844804174,-0.014940018397071597,11.9,0.36306900000000003
1.36,0.030510000000000002,0.0,0.047961647844804174,-0.013404128655316594,11.9,0.36306900000000003
1.3800000000000001,0.030510000000000002,0.0,0.047961647844804174,-0.01186823891356159,11.9,0.36306900000000003
1.4000000000000001,0.030510000000000002,0.0,0.047961647844804174,-0.010332349171806587,11.9,0.36306900000000003
1.42,0.030510000000000002,0.0,0.047961647844804174,-0.008796459430051362,11.9,0.36306900000000003
1.44,0.03164,0.0,0.047961647844804174,-0.008796459430051362,11.9,0.376516
1.46,0.03164,0.0,0.047961647844804174,-0.007260569688296581,11.9,0.376516
1.48,0.03164,0.0,0.047961647844804174,-0.005724679946541356,11.9,0.376516
1.5,0.03164,0.0,0.047961647844804174,-0.004188790204786574,11.9,0.376516
1.52,0.03277,0.0,0.047961647844804174,-0.002652900463031349,11.9,0.389963
1.54,0.03277,0.0,0.047961647844804174,-0.0011170107212765679,11.9,0.389963
1.56,0.03277,0.0,0.047961647844804174,-0.0011170107212765679,11.9,0.389963
1.58,0.0339,0.0,0.047961647844804174,0.00041887902047865744,11.9,0.40341
1.6,0.0339,0.0,0.047961647844804174,0.0019547687622334387,11.9,0.40341
1.62,0.03503,0.0,0.047961647844804174,0.003490658503988664,11.9,0.416857
1.6400000000000001,0.03503,0.0,0.047961647844804174,0.005026548245743667,11.9,0.416857
1.6600000000000001,0.03616,0.0,0.047961647844804174,0.006562437987498448,11.9,0.43030399999999996
1.68,0.03616,0.0,0.047961647844804174,0.006562437987498448,11.9,0.43030399999999996
1.7,0.037290000000000004,0.0,0.047961647844804174,0.008098327729253674,11.9,0.44375100000000006
1.72,0.037290000000000004,0.00269,0.047961647844804174,0.009634217471008455,11.9,0.44375100000000006
1.74,0.03842,0.00269,0.047961647844804174,0.01117010721276368,11.9,0.45719800000000005
