time,q1_l,q1_r,q2_l,q2_r
0.0,73.74631268436578,73.74631268436578,73.74631268436578,73.74631268436578
0.005,73.74631268155773,73.74631268155773,73.74631268155773,73.74631268155773
0.01,73.74631263943695,73.74631263943695,73.74631263943695,73.74631263943695
0.015,73.74631245691361,73.74631245691361,73.74631245691361,73.74631245691361
0.02,73.74631196550462,73.74631196550462,73.74631196550462,73.74631196550462
0.025,73.74631092933363,73.74631092933363,73.74631092933363,73.74631092933363
0.03,73.74630904513114,73.74630904513114,73.74630904513114,73.74630904513114
0.035,73.74630594223439,73.74630594223439,73.74630594223439,73.74630594223439
0.04,73.7463011825874,73.7463011825874,73.7463011825874,73.7463011825874
0.045,73.74629426074107,73.74629426074107,73.74629426074107,73.74629426074107
0.05,73.7462846038532,73.7462846038532,73.7462846038532,73.7462846038532
0.055,73.74627157168852,73.74627157168852,73.74627157168852,73.74627157168852
0.06,73.74625445661886,73.74625445661886,73.74625445661886,73.74625445661886
0.065,73.74623248362325,73.74623248362325,73.74623248362325,73.74623248362325
0.07,73.7462048102881,73.7462048102881,73.7462048102881,73.7462048102881
0.075,73.74617052680749,73.74617052680749,73.74617052680749,73.74617052680749
0.08,73.7461286559834,73.7461286559834,73.7461286559834,73.7461286559834
0.085,73.7460781532261,73.7460781532261,73.7460781532261,73.7460781532261
0.09,73.7460179065546,73.7460179065546,73.7460179065546,73.7460179065546
0.095,73.74594673659723,73.74594673659723,73.74594673659723,73.74594673659723
0.1,73.74586339659221,73.74586339659221,73.74586339659221,73.74586339659221
0.105,73.74576657238846,73.74576657238846,73.74576657238846,73.74576657238846
0.11,73.74565488244647,73.74565488244647,73.74565488244647,73.74565488244647
0.115,73.74552687783938,73.74552687783938,73.74552687783938,73.74552687783938
0.12,73.74538104225411,73.74538104225411,73.74538104225411,73.74538104225411
0.125,73.74521579199273,73.74521579199273,73.74521579199273,73.74521579199273
0.13,73.7450294759741,73.7450294759741,73.7450294759741,73.7450294759741
0.135,73.74482037573554,73.74482037573554,73.74482037573554,73.74482037573554
0.14,73.74458670543487,73.74458670543487,73.74458670543487,73.74458670543487
0.145,73.74432661185261,73.74432661185261,73.74432661185261,73.74432661185261
0.15,73.74403817439452,73.74403817439452,73.74403817439452,73.74403817439452
0.155,73.74371940509432,73.74371940509432,73.74371940509432,73.74371940509432
0.16,73.74336824861686,73.74336824861686,73.74336824861686,73.74336824861686
0.165,73.74298258226139,73.74298258226139,73.74298258226139,73.74298258226139
0.17,73.74256021596543,73.74256021596543,73.74256021596543,73.74256021596543
0.17500000000000002,73.74209889230877,73.74209889230877,73.74209889230877,73.74209889230877
0.18,73.74159628651812,73.74159628651812,73.74159628651812,73.74159628651812
0.185,73.74105000647192,73.74105000647192,73.74105000647192,73.74105000647192
0.19,73.74045759270572,73.74045759270572,73.74045759270572,73.74045759270572
0.195,73.73981651841805,73.73981651841805,73.73981651841805,73.73981651841805
0.2,73.73912418947671,73.73912418947671,73.73912418947671,73.73912418947671
0.20500000000000002,73.7383779444256,73.7383779444256,73.7383779444256,73.7383779444256
0.21,73.73757505449211,73.73757505449211,73.73757505449211,73.73757505449211
0.215,73.73671272359516,73.73671272359516,73.73671272359516,73.73671272359516
0.22,73.7357880883536,73.7357880883536,73.7357880883536,73.7357880883536
0.225,73.73479821809558,73.73479821809558,73.73479821809558,73.73479821809558
0.23,73.73374011486828,73.73374011486828,73.73374011486828,73.73374011486828
0.23500000000000001,73.73261071344857,73.73261071344857,73.73261071344857,73.73261071344857
0.24,73.7314068813542,73.7314068813542,73.7314068813542,73.7314068813542
0.245,73.73012541885593,73.73012541885593,73.73012541885593,73.73012541885593
0.25,73.72876305899034,73.72876305899034,73.72876305899034,73.72876305899034
0.255,73.72731646757347,73.72731646757347,73.72731646757347,73.72731646757347
0.26,73.72578224321535,73.72578224321535,73.72578224321535,73.72578224321535
0.265,73.7241569173355,73.7241569173355,73.7241569173355,73.7241569173355
0.27,73.7224369541792,73.7224369541792,73.7224369541792,73.7224369541792
0.275,73.72061875083484,73.72061875083484,73.72061875083484,73.72061875083484
0.28,73.71869863725234,73.71869863725234,73.71869863725234,73.71869863725234
0.28500000000000003,73.71667287626241,73.71667287626241,73.71667287626241,73.71667287626241
0.29,73.71453766359711,73.71453766359711,73.71453766359711,73.71453766359711
0.295,73.71228912791148,73.71228912791148,73.71228912791148,73.71228912791148
0.3,73.70992333080616,73.70992333080616,73.70992333080616,73.70992333080616
0.305,73.70743626685154,73.70743626685154,73.70743626685154,73.70743626685154
0.31,73.70482386361289,73.70482386361289,73.70482386361289,73.70482386361289
0.315,73.70208198167683,73.70208198167683,73.70208198167683,73.70208198167683
0.32,73.6992064146793,73.6992064146793,73.6992064146793,73.6992064146793
0.325,73.6961928893347,73.6961928893347,73.6961928893347,73.6961928893347
0.33,73.69303706546657,73.69303706546657,73.69303706546657,73.69303706546657
0.335,73.68973453603972,73.68973453603972,73.68973453603972,73.68973453603972
0.34,73.68628082719388,73.68628082719388,73.68628082719388,73.68628082719388
0.34500000000000003,73.68267139827886,73.68267139827886,73.68267139827886,73.68267139827886
0.35000000000000003,73.67890164189141,73.67890164189141,73.67890164189141,73.67890164189141
0.355,73.67496688391364,73.67496688391364,73.67496688391364,73.67496688391364
0.36,73.67086238355328,73.67086238355328,73.67086238355328,73.67086238355328
0.365,73.6665833333855,73.6665833333855,73.6665833333855,73.6665833333855
0.37,73.66212485939678,73.66212485939678,73.66212485939678,73.66212485939678
0.375,73.6574820210304,73.6574820210304,73.6574820210304,73.6574820210304
0.38,73.65264981123403,73.65264981123403,73.65264981123403,73.65264981123403
0.385,73.64762315650913,73.64762315650913,73.64762315650913,73.64762315650913
0.39,73.64239691696251,73.64239691696251,73.64239691696251,73.64239691696251
0.395,73.63696588635989,73.63696588635989,73.63696588635989,73.63696588635989
0.4,73.63132479218149,73.63132479218149,73.63132479218149,73.63132479218149
0.405,73.62546829567998,73.62546829567998,73.62546829567998,73.62546829567998
0.41000000000000003,73.61939099194055,73.61939099194055,73.61939099194055,73.61939099194055
0.41500000000000004,73.61308740994333,73.61308740994333,73.61308740994333,73.61308740994333
0.42,73.60655201262804,73.60655201262804,73.60655201262804,73.60655201262804
0.425,73.59977919696124,73.59977919696124,73.59977919696124,73.59977919696124
0.43,73.59276329400585,73.59276329400585,73.59276329400585,73.59276329400585
0.435,73.58549856899334,73.58549856899334,73.58549856899334,73.58549856899334
0.44,73.57797922139845,73.57797922139845,73.57797922139845,73.57797922139845
0.445,73.57019938501651,73.57019938501651,73.57019938501651,73.57019938501651
0.45,73.5621531280435,73.5621531280435,73.5621531280435,73.5621531280435
0.455,73.55383445315903,73.55383445315903,73.55383445315903,73.55383445315903
0.46,73.54523729761176,73.54523729761176,73.54523729761176,73.54523729761176
0.465,73.53635553330824,73.53635553330824,73.53635553330824,73.53635553330824
0.47000000000000003,73.52718296690416,73.52718296690416,73.52718296690416,73.52718296690416
0.47500000000000003,73.51771333989916,73.51771333989916,73.51771333989916,73.51771333989916
0.48,73.50794032873422,73.50794032873422,73.50794032873422,73.50794032873422
0.485,73.49785754489263,73.49785754489263,73.49785754489263,73.49785754489263
0.49,73.48745853500387,73.48745853500387,73.48745853500387,73.48745853500387
0.495,73.476736780951,73.476736780951,73.476736780951,73.476736780951
0.5,73.46568569998124,73.46568569998124,73.46568569998124,73.46568569998124
0.505,73.45429864482004,73.45429864482004,73.45429864482004,73.45429864482004
0.51,73.44256890378874,73.44256890378874,73.44256890378874,73.44256890378874
0.515,73.43048970092559,73.43048970092559,73.43048970092559,73.43048970092559
0.52,73.41805419611053,73.41805419611053,73.41805419611053,73.41805419611053
0.525,73.40525548519373,73.40525548519373,73.40525548519373,73.40525548519373
0.53,73.39208660012774,73.39208660012774,73.39208660012774,73.39208660012774
0.535,73.37854050910364,73.37854050910364,73.37854050910364,73.37854050910364
0.54,73.36461011669103,73.36461011669103,73.36461011669103,73.36461011669103
0.545,73.350288263982,73.350288263982,73.350288263982,73.350288263982
0.55,73.33556772873926,73.33556772873926,73.33556772873926,73.33556772873926
0.555,73.32044122554835,73.32044122554835,73.32044122554835,73.32044122554835
0.56,73.30490140597404,73.30490140597404,73.30490140597404,73.30490140597404
0.5650000000000001,73.28894085872102,73.28894085872102,73.28894085872102,73.28894085872102
0.5700000000000001,73.27255210979912,73.27255210979912,73.27255210979912,73.27255210979912
0.5750000000000001,73.25572762269276,73.25572762269276,73.25572762269276,73.25572762269276
0.58,73.23845979853503,73.23845979853503,73.23845979853503,73.23845979853503
0.585,73.22074097628638,73.22074097628638,73.22074097628638,73.22074097628638
0.59,73.20256343291797,73.20256343291797,73.20256343291797,73.20256343291797
0.595,73.1839193835998,73.1839193835998,73.1839193835998,73.1839193835998
0.6,73.16480098189365,73.16480098189365,73.16480098189365,73.16480098189365
0.605,73.14520031995094,73.14520031995094,73.14520031995094,73.14520031995094
0.61,73.1251094287157,73.1251094287157,73.1251094287157,73.1251094287157
0.615,73.1045202781324,73.1045202781324,73.1045202781324,73.1045202781324
0.62,73.08342477735917,73.08342477735917,73.08342477735917,73.08342477735917
0.625,73.06181477498617,73.06181477498617,73.06181477498617,73.06181477498617
