time,q1_l,q1_r,q2_l,q2_r
0.0,55.309734513274336,55.309734513274336,55.309734513274336,55.309734513274336
0.005,55.30973451208968,55.30973451208968,55.30973451208968,55.30973451208968
0.01,55.30973449431998,55.30973449431998,55.30973449431998,55.30973449431998
0.015,55.30973441731795,55.30973441731795,55.30973441731795,55.30973441731795
0.02,55.30973421000478,55.30973421000478,55.30973421000478,55.30973421000478
0.025,55.30973377287015,55.30973377287015,55.30973377287015,55.30973377287015
0.03,55.30973297797222,55.30973297797222,55.30973297797222,55.30973297797222
0.035,55.30973166893764,55.30973166893764,55.30973166893764,55.30973166893764
0.04,55.309729660961516,55.309729660961516,55.309729660961516,55.309729660961516
0.045,55.30972674080752,55.30972674080752,55.30972674080752,55.30972674080752
0.05,55.30972266680776,55.30972266680776,55.30972266680776,55.30972266680776
0.055,55.30971716886291,55.30971716886291,55.30971716886291,55.30971716886291
0.06,55.30970994844219,55.30970994844219,55.30970994844219,55.30970994844219
0.065,55.3097006785834,55.3097006785834,55.3097006785834,55.3097006785834
0.07,55.309689003892956,55.309689003892956,55.309689003892956,55.309689003892956
0.075,55.309674540546006,55.309674540546006,55.309674540546006,55.309674540546006
0.08,55.30965687628639,55.30965687628639,55.30965687628639,55.30965687628639
0.085,55.309635570426835,55.309635570426835,55.309635570426835,55.309635570426835
0.09,55.309610153849,55.309610153849,55.309610153849,55.309610153849
0.095,55.309580129003606,55.309580129003606,55.309580129003606,55.309580129003606
0.1,55.30954496991066,55.30954496991066,55.30954496991066,55.30954496991066
0.105,55.309504122159495,55.309504122159495,55.309504122159495,55.309504122159495
0.11,55.309457002909134,55.309457002909134,55.309457002909134,55.309457002909134
0.115,55.30940300088844,55.30940300088844,55.30940300088844,55.30940300088844
0.12,55.30934147639642,55.30934147639642,55.30934147639642,55.30934147639642
0.125,55.30927176130257,55.30927176130257,55.30927176130257,55.30927176130257
0.13,55.30919315904723,55.30919315904723,55.30919315904723,55.30919315904723
0.135,55.30910494464201,55.30910494464201,55.30910494464201,55.30910494464201
0.14,55.30900636467022,55.30900636467022,55.30900636467022,55.30900636467022
0.145,55.30889663728747,55.30889663728747,55.30889663728747,55.30889663728747
0.15,55.308774952222215,55.308774952222215,55.308774952222215,55.308774952222215
0.155,55.30864047077644,55.30864047077644,55.30864047077644,55.30864047077644
0.16,55.30849232582634,55.30849232582634,55.30849232582634,55.30849232582634
0.165,55.308329621823205,55.308329621823205,55.308329621823205,55.308329621823205
0.17,55.30815143479426,55.30815143479426,55.30815143479426,55.30815143479426
0.17500000000000002,55.307956812343626,55.307956812343626,55.307956812343626,55.307956812343626
0.18,55.307744773653425,55.307744773653425,55.307744773653425,55.307744773653425
0.185,55.307514309484965,55.307514309484965,55.307514309484965,55.307514309484965
0.19,55.30726438217993,55.30726438217993,55.30726438217993,55.30726438217993
0.195,55.306993925661864,55.306993925661864,55.306993925661864,55.306993925661864
0.2,55.306701845437615,55.306701845437615,55.306701845437615,55.306701845437615
0.20500000000000002,55.30638701859894,55.30638701859894,55.30638701859894,55.30638701859894
0.21,55.30604829382432,55.30604829382432,55.30604829382432,55.30604829382432
0.215,55.305684491380795,55.305684491380795,55.305684491380795,55.305684491380795
0.22,55.30529440312602,55.30529440312602,55.30529440312602,55.30529440312602
0.225,55.30487679251044,55.30487679251044,55.30487679251044,55.30487679251044
0.23,55.30443039457965,55.30443039457965,55.30443039457965,55.30443039457965
0.23500000000000001,55.30395391597684,55.30395391597684,55.30395391597684,55.30395391597684
0.24,55.303446034945594,55.303446034945594,55.303446034945594,55.303446034945594
0.245,55.302905401332595,55.302905401332595,55.302905401332595,55.302905401332595
0.25,55.3023306365908,55.3023306365908,55.3023306365908,55.3023306365908
0.255,55.30172033378262,55.30172033378262,55.30172033378262,55.30172033378262
0.26,55.30107305758336,55.30107305758336,55.30107305758336,55.30107305758336
0.265,55.30038734428493,55.30038734428493,55.30038734428493,55.30038734428493
0.27,55.299661701799685,55.299661701799685,55.299661701799685,55.299661701799685
0.275,55.298894609664565,55.298894609664565,55.298894609664565,55.298894609664565
0.28,55.29808451904542,55.29808451904542,55.29808451904542,55.29808451904542
0.28500000000000003,55.297229852741616,55.297229852741616,55.297229852741616,55.297229852741616
0.29,55.29632900519095,55.29632900519095,55.29632900519095,55.29632900519095
0.295,55.29538034247469,55.29538034247469,55.29538034247469,55.29538034247469
0.3,55.294382202323035,55.294382202323035,55.294382202323035,55.294382202323035
0.305,55.293332894120795,55.293332894120795,55.293332894120795,55.293332894120795
0.31,55.29223069891334,55.29223069891334,55.29223069891334,55.29223069891334
0.315,55.291073869413,55.291073869413,55.291073869413,55.291073869413
0.32,55.28986063000551,55.28986063000551,55.28986063000551,55.28986063000551
0.325,55.28858917675711,55.28858917675711,55.28858917675711,55.28858917675711
0.33,55.28725767742172,55.28725767742172,55.28725767742172,55.28725767742172
0.335,55.285864271448595,55.285864271448595,55.285864271448595,55.285864271448595
0.34,55.28440706999032,55.28440706999032,55.28440706999032,55.28440706999032
0.34500000000000003,55.28288415591118,55.28288415591118,55.28288415591118,55.28288415591118
0.35000000000000003,55.2812935837958,55.2812935837958,55.2812935837958,55.2812935837958
0.355,55.279633379958454,55.279633379958454,55.279633379958454,55.279633379958454
0.36,55.27790154245243,55.27790154245243,55.27790154245243,55.27790154245243
0.365,55.27609604108009,55.27609604108009,55.27609604108009,55.27609604108009
0.37,55.27421481740322,55.27421481740322,55.27421481740322,55.27421481740322
0.375,55.272255784753845,55.272255784753845,55.272255784753845,55.272255784753845
0.38,55.27021682824552,55.27021682824552,55.27021682824552,55.27021682824552
0.385,55.26809580478512,55.26809580478512,55.26809580478512,55.26809580478512
0.39,55.26589054308498,55.26589054308498,55.26589054308498,55.26589054308498
0.395,55.263598843675645,55.263598843675645,55.263598843675645,55.263598843675645
0.4,55.261218478919155,55.261218478919155,55.261218478919155,55.261218478919155
0.405,55.25874719302267,55.25874719302267,55.25874719302267,55.25874719302267
