time,q1_l,q1_r,q2_l,q2_r
0.0,110.61946902654867,110.61946902654867,110.61946902654867,110.61946902654867
0.005,110.62868808303597,110.62868808303597,110.62868808303597,110.62868808303597
0.01,110.63790712757991,110.63790712757991,110.63790712757991,110.63790712757991
0.015,110.64712612946374,110.64712612946374,110.64712612946374,110.64712612946374
0.02,110.6563450374831,110.6563450374831,110.6563450374831,110.6563450374831
0.025,110.66556377993714,110.66556377993714,110.66556377993714,110.66556377993714
0.03,110.67478226462033,110.67478226462033,110.67478226462033,110.67478226462033
0.035,110.68400037881378,110.68400037881378,110.68400037881378,110.68400037881378
0.04,110.69321798927669,110.69321798927669,110.69321798927669,110.69321798927669
0.045,110.7024349422379,110.7024349422379,110.7024349422379,110.7024349422379
0.05,110.71165106338731,110.71165106338731,110.71165106338731,110.71165106338731
0.055,110.7208661578673,110.7208661578673,110.7208661578673,110.7208661578673
0.06,110.73008001026442,110.73008001026442,110.73008001026442,110.73008001026442
0.065,110.73929238460056,110.73929238460056,110.73929238460056,110.73929238460056
0.07,110.74850302432466,110.74850302432466,110.74850302432466,110.74850302432466
0.075,110.75771165230418,110.75771165230418,110.75771165230418,110.75771165230418
0.08,110.76691797081642,110.76691797081642,110.76691797081642,110.76691797081642
0.085,110.77612166154024,110.77612166154024,110.77612166154024,110.77612166154024
0.09,110.78532238554737,110.78532238554737,110.78532238554737,110.78532238554737
0.095,110.794519783294,110.794519783294,110.794519783294,110.794519783294
0.1,110.80371347461235,110.80371347461235,110.80371347461235,110.80371347461235
0.105,110.81290305870195,110.81290305870195,110.81290305870195,110.81290305870195
0.11,110.82208811412151,110.82208811412151,110.82208811412151,110.82208811412151
0.115,110.83126819878015,110.83126819878015,110.83126819878015,110.83126819878015
0.12,110.84044284992915,110.84044284992915,110.84044284992915,110.84044284992915
0.125,110.84961158415332,110.84961158415332,110.84961158415332,110.84961158415332
0.13,110.8587738973628,110.8587738973628,110.8587738973628,110.8587738973628
0.135,110.86792926478438,110.86792926478438,110.86792926478438,110.86792926478438
0.14,110.87707714095325,110.87707714095325,110.87707714095325,110.87707714095325
0.145,110.88621695970464,110.88621695970464,110.88621695970464,110.88621695970464
0.15,110.89534813416532,110.89534813416532,110.89534813416532,110.89534813416532
0.155,110.90447005674531,110.90447005674531,110.90447005674531,110.90447005674531
0.16,110.91358209912953,110.91358209912953,110.91358209912953,110.91358209912953
