time,q1_l,q1_r,q2_l,q2_r
0.0,0.0,0.0,0.0,0.0
0.005,0.12525326130669626,0.12525326130669626,0.12525326130669626,0.12525326130669626
0.01,0.25049639822246444,0.25049639822246444,0.25049639822246444,0.25049639822246444
0.015,0.37571928725479403,0.37571928725479403,0.37571928725479403,0.37571928725479403
0.02,0.5009118067079298,0.5009118067079298,0.5009118067079298,0.5009118067079298
0.025,0.6260638375810493,0.6260638375810493,0.6260638375810493,0.6260638375810493
0.03,0.7511652644662028,0.7511652644662028,0.7511652644662028,0.7511652644662028
0.035,0.8762059764459319,0.8762059764459319,0.8762059764459319,0.8762059764459319
0.04,1.0011758679904905,1.0011758679904905,1.0011758679904905,1.0011758679904905
0.045,1.1260648398545863,1.1260648398545863,1.1260648398545863,1.1260648398545863
0.05,1.250862799973567,1.250862799973567,1.250862799973567,1.250862799973567
0.055,1.3755596643589636,1.3755596643589636,1.3755596643589636,1.3755596643589636
0.06,1.5001453579933206,1.5001453579933206,1.5001453579933206,1.5001453579933206
0.065,1.6246098157242277,1.6246098157242277,1.6246098157242277,1.6246098157242277
0.07,1.748942983157476,1.748942983157476,1.748942983157476,1.748942983157476
0.075,1.8731348175492564,1.8731348175492564,1.8731348175492564,1.8731348175492564
0.08,1.9971752886973277,1.9971752886973277,1.9971752886973277,1.9971752886973277
0.085,2.121054379831063,2.121054379831063,2.121054379831063,2.121054379831063
0.09,2.244762088500314,2.244762088500314,2.244762088500314,2.244762088500314
0.095,2.3682884274629927,2.3682884274629927,2.3682884274629927,2.3682884274629927
0.1,2.491623425571307,2.491623425571307,2.491623425571307,2.491623425571307
0.105,2.6147571286565685,2.6147571286565685,2.6147571286565685,2.6147571286565685
0.11,2.7376796004124886,2.7376796004124886,2.7376796004124886,2.7376796004124886
0.115,2.8603809232768893,2.8603809232768893,2.8603809232768893,2.8603809232768893
0.12,2.9828511993117486,2.9828511993117486,2.9828511993117486,2.9828511993117486
0.125,3.1050805510815076,3.1050805510815076,3.1050805510815076,3.1050805510815076
0.13,3.227059122529544,3.227059122529544,3.227059122529544,3.227059122529544
0.135,3.348777079852764,3.348777079852764,3.348777079852764,3.348777079852764
0.14,3.4702246123742024,3.4702246123742024,3.4702246123742024,3.4702246123742024
0.145,3.591391933413574,3.591391933413574,3.591391933413574,3.591391933413574
0.15,3.7122692811556997,3.7122692811556997,3.7122692811556997,3.7122692811556997
0.155,3.8328469195167107,3.8328469195167107,3.8328469195167107,3.8328469195167107
0.16,3.9531151390079846,3.9531151390079846,3.9531151390079846,3.9531151390079846
0.165,4.073064257597697,4.073064257597697,4.073064257597697,4.073064257597697
0.17,4.192684621569955,4.192684621569955,4.192684621569955,4.192684621569955
0.17500000000000002,4.311966606381406,4.311966606381406,4.311966606381406,4.311966606381406
0.18,4.430900617515255,4.430900617515255,4.430900617515255,4.430900617515255
0.185,4.549477091332615,4.549477091332615,4.549477091332615,4.549477091332615
0.19,4.667686495921115,4.667686495921115,4.667686495921115,4.667686495921115
0.195,4.785519331940698,4.785519331940698,4.785519331940698,4.785519331940698
0.2,4.902966133466509,4.902966133466509,4.902966133466509,4.902966133466509
0.20500000000000002,5.020017468828826,5.020017468828826,5.020017468828826,5.020017468828826
0.21,5.136663941449956,5.136663941449956,5.136663941449956,5.136663941449956
0.215,5.252896190677992,5.252896190677992,5.252896190677992,5.252896190677992
0.22,5.368704892617401,5.368704892617401,5.368704892617401,5.368704892617401
0.225,5.484080760956327,5.484080760956327,5.484080760956327,5.484080760956327
0.23,5.599014547790579,5.599014547790579,5.599014547790579,5.599014547790579
0.23500000000000001,5.713497044444186,5.713497044444186,5.713497044444186,5.713497044444186
0.24,5.8275190822864795,5.8275190822864795,5.8275190822864795,5.8275190822864795
0.245,5.941071533545614,5.941071533545614,5.941071533545614,5.941071533545614
0.25,6.05414531211846,6.05414531211846,6.05414531211846,6.05414531211846
0.255,6.166731374376798,6.166731374376798,6.166731374376798,6.166731374376798
0.26,6.278820719969736,6.278820719969736,6.278820719969736,6.278820719969736
0.265,6.390404392622284,6.390404392622284,6.390404392622284,6.390404392622284
0.27,6.501473480930012,6.501473480930012,6.501473480930012,6.501473480930012
0.275,6.612019119149728,6.612019119149728,6.612019119149728,6.612019119149728
0.28,6.722032487986091,6.722032487986091,6.722032487986091,6.722032487986091
0.28500000000000003,6.831504815374115,6.831504815374115,6.831504815374115,6.831504815374115
0.29,6.940427377257444,6.940427377257444,6.940427377257444,6.940427377257444
0.295,7.048791498362413,7.048791498362413,7.048791498362413,7.048791498362413
0.3,7.156588552967728,7.156588552967728,7.156588552967728,7.156588552967728
0.305,7.263809965669767,7.263809965669767,7.263809965669767,7.263809965669767
0.31,7.370447212143418,7.370447212143418,7.370447212143418,7.370447212143418
0.315,7.476491819898363,7.476491819898363,7.476491819898363,7.476491819898363
0.32,7.581935369030762,7.581935369030762,7.581935369030762,7.581935369030762
0.325,7.686769492970285,7.686769492970285,7.686769492970285,7.686769492970285
0.33,7.790985879222373,7.790985879222373,7.790985879222373,7.790985879222373
0.335,7.894576270105729,7.894576270105729,7.894576270105729,7.894576270105729
0.34,7.997532463484912,7.997532463484912,7.997532463484912,7.997532463484912
0.34500000000000003,8.099846313498025,8.099846313498025,8.099846313498025,8.099846313498025
0.35000000000000003,8.201509731279375,8.201509731279375,8.201509731279375,8.201509731279375
0.355,8.302514685677094,8.302514685677094,8.302514685677094,8.302514685677094
0.36,8.402853203965629,8.402853203965629,8.402853203965629,8.402853203965629
0.365,8.502517372553022,8.502517372553022,8.502517372553022,8.502517372553022
0.37,8.601499337682974,8.601499337682974,8.601499337682974,8.601499337682974
0.375,8.699791306131555,8.699791306131555,8.699791306131555,8.699791306131555
0.38,8.797385545898571,8.797385545898571,8.797385545898571,8.797385545898571
0.385,8.894274386893468,8.894274386893468,8.894274386893468,8.894274386893468
0.39,8.990450221615747,8.990450221615747,8.990450221615747,8.990450221615747
0.395,9.085905505829828,9.085905505829828,9.085905505829828,9.085905505829828
0.4,9.180632759234273,9.180632759234273,9.180632759234273,9.180632759234273
0.405,9.274624566125354,9.274624566125354,9.274624566125354,9.274624566125354
0.41000000000000003,9.367873576054862,9.367873576054862,9.367873576054862,9.367873576054862
0.41500000000000004,9.46037250448214,9.46037250448214,9.46037250448214,9.46037250448214
0.42,9.552114133420236,9.552114133420236,9.552114133420236,9.552114133420236
0.425,9.643091312076178,9.643091312076178,9.643091312076178,9.643091312076178
0.43,9.73329695748525,9.73329695748525,9.73329695748525,9.73329695748525
0.435,9.822724055139256,9.822724055139256,9.822724055139256,9.822724055139256
0.44,9.911365659608707,9.911365659608707,9.911365659608707,9.911365659608707
0.445,9.999214895158865,9.999214895158865,9.999214895158865,9.999214895158865
0.45,10.0862649563596,10.0862649563596,10.0862649563596,10.0862649563596
0.455,10.172509108688997,10.172509108688997,10.172509108688997,10.172509108688997
0.46,10.25794068913068,10.25794068913068,10.25794068913068,10.25794068913068
0.465,10.342553106764758,10.342553106764758,10.342553106764758,10.342553106764758
0.47000000000000003,10.4263398433524,10.4263398433524,10.4263398433524,10.4263398433524
0.47500000000000003,10.509294453913919,10.509294453913919,10.509294453913919,10.509294453913919
0.48,10.59141056730038,10.59141056730038,10.59141056730038,10.59141056730038
0.485,10.672681886758626,10.672681886758626,10.672681886758626,10.672681886758626
0.49,10.753102190489717,10.753102190489717,10.753102190489717,10.753102190489717
0.495,10.83266533220069,10.83266533220069,10.83266533220069,10.83266533220069
0.5,10.91136524164963,10.91136524164963,10.91136524164963,10.91136524164963
0.505,10.989195925183976,10.989195925183976,10.989195925183976,10.989195925183976
0.51,11.066151466272022,11.066151466272022,11.066151466272022,11.066151466272022
0.515,11.142226026027577,11.142226026027577,11.142226026027577,11.142226026027577
0.52,11.217413843727726,11.217413843727726,11.217413843727726,11.217413843727726
0.525,11.291709237323643,11.291709237323643,11.291709237323643,11.291709237323643
0.53,11.365106603944405,11.365106603944405,11.365106603944405,11.365106603944405
0.535,11.437600420393812,11.437600420393812,11.437600420393812,11.437600420393812
0.54,11.509185243640086,11.509185243640086,11.509185243640086,11.509185243640086
