time,q1_l,q1_r,q2_l,q2_r
0.0,0.0,0.0,0.0,0.0
0.005,5.449028997754579,5.449028997754579,5.449028997754579,5.449028997754579
0.01,10.848967362589045,10.848967362589045,10.848967362589045,10.848967362589045
0.015,16.15121447216505,16.15121447216505,16.15121447216505,16.15121447216505
0.02,21.30814482933267,21.30814482933267,21.30814482933267,21.30814482933267
0.025,26.273583433705703,26.273583433705703,26.273583433705703,26.273583433705703
0.03,31.00326666049876,31.00326666049876,31.00326666049876,31.00326666049876
0.035,35.45528404172553,35.45528404172553,35.45528404172553,35.45528404172553
0.04,39.59049653567528,39.59049653567528,39.59049653567528,39.59049653567528
0.045,43.372927105505724,43.372927105505724,43.372927105505724,43.372927105505724
0.05,46.7701197044686,46.7701197044686,46.7701197044686,46.7701197044686
0.055,49.75346308095471,49.75346308095471,49.75346308095471,49.75346308095471
0.06,52.29847616805404,52.29847616805404,52.29847616805404,52.29847616805404
0.065,54.38505220616101,54.38505220616101,54.38505220616101,54.38505220616101
0.07,55.997659159481074,55.997659159481074,55.997659159481074,55.997659159481074
0.075,57.125494423991235,57.125494423991235,57.125494423991235,57.125494423991235
0.08,57.76259228111222,57.76259228111222,57.76259228111222,57.76259228111222
0.085,57.907883023498684,57.907883023498684,57.907883023498684,57.907883023498684
0.09,57.56520316223036,57.56520316223036,57.56520316223036,57.56520316223036
0.095,56.74325661346521,56.74325661346521,56.74325661346521,56.74325661346521
0.1,55.45552725241278,55.45552725241278,55.45552725241278,55.45552725241278
0.105,53.72014370840743,53.72014370840743,53.72014370840743,53.72014370840743
0.11,51.559697752052074,51.559697752052074,51.559697752052074,51.559697752052074
0.115,49.0010180890959,49.0010180890959,49.0010180890959,49.0010180890959
0.12,46.0749018212704,46.0749018212704,46.0749018212704,46.0749018212704
0.125,42.81580625728572,42.81580625728572,42.81580625728572,42.81580625728572
0.13,39.261504153357706,39.261504153357706,39.261504153357706,39.261504153357706
0.135,35.45270582803506,35.45270582803506,35.45270582803506,35.45270582803506
0.14,31.432651927078116,31.432651927078116,31.432651927078116,31.432651927078116
0.145,27.246680907394662,27.246680907394662,27.246680907394662,27.246680907394662
0.15,22.941775561637282,22.941775561637282,22.941775561637282,22.941775561637282
0.155,18.56609311448565,18.56609311448565,18.56609311448565,18.56609311448565
0.16,14.168483585782585,14.168483585782585,14.168483585782585,14.168483585782585
0.165,9.798001232927213,9.798001232927213,9.798001232927213,9.798001232927213
0.17,5.503413954077393,5.503413954077393,5.503413954077393,5.503413954077393
0.17500000000000002,1.3327155540888558,1.3327155540888558,1.3327155540888558,1.3327155540888558
0.18,-2.6673542534853922,-2.6673542534853922,-2.6673542534853922,-2.6673542534853922
0.185,-6.451777312308289,-6.451777312308289,-6.451777312308289,-6.451777312308289
0.19,-9.977707286273313,-9.977707286273313,-9.977707286273313,-9.977707286273313
0.195,-13.204898220696732,-13.204898220696732,-13.204898220696732,-13.204898220696732
0.2,-16.096107119598997,-16.096107119598997,-16.096107119598997,-16.096107119598997
0.20500000000000002,-18.61746651661217,-18.61746651661217,-18.61746651661217,-18.61746651661217
0.21,-20.738823316861858,-20.738823316861858,-20.738823316861858,-20.738823316861858
0.215,-22.434040524183597,-22.434040524183597,-22.434040524183597,-22.434040524183597
0.22,-23.68125883886978,-23.68125883886978,-23.68125883886978,-23.68125883886978
0.225,-24.463115512104547,-24.463115512104547,-24.463115512104547,-24.463115512104547
0.23,-24.766918270321522,-24.766918270321522,-24.766918270321522,-24.766918270321522
0.23500000000000001,-24.584772571644933,-24.584772571644933,-24.584772571644933,-24.584772571644933
0.24,-23.913660922866654,-23.913660922866654,-23.913660922866654,-23.913660922866654
0.245,-22.755473464405863,-22.755473464405863,-22.755473464405863,-22.755473464405863
0.25,-21.116989517613423,-21.116989517613423,-21.116989517613423,-21.116989517613423
0.255,-19.009810278750866,-19.009810278750866,-19.009810278750866,-19.009810278750866
0.26,-16.450243332100296,-16.450243332100296,-16.450243332100296,-16.450243332100296
0.265,-13.459140136069708,-13.459140136069708,-13.459140136069708,-13.459140136069708
0.27,-10.061688106035614,-10.061688106035614,-10.061688106035614,-10.061688106035614
0.275,-6.287159371320796,-6.287159371320796,-6.287159371320796,-6.287159371320796
0.28,-2.168618716601873,-2.168618716601873,-2.168618716601873,-2.168618716601873
0.28500000000000003,2.2574063741418398,2.2574063741418398,2.2574063741418398,2.2574063741418398
0.29,6.951290274368295,6.951290274368295,6.951290274368295,6.951290274368295
0.295,11.870704729912603,11.870704729912603,11.870704729912603,11.870704729912603
0.3,16.971041380312393,16.971041380312393,16.971041380312393,16.971041380312393
0.305,22.205857064867143,22.205857064867143,22.205857064867143,22.205857064867143
0.31,27.52733746412079,27.52733746412079,27.52733746412079,27.52733746412079
0.315,32.886774444254776,32.886774444254776,32.886774444254776,32.886774444254776
0.32,38.23505233496534,38.23505233496534,38.23505233496534,38.23505233496534
0.325,43.52313828213558,43.52313828213558,43.52313828213558,43.52313828213558
0.33,48.70257177590142,48.70257177590142,48.70257177590142,48.70257177590142
0.335,53.72594846294648,53.72594846294648,53.72594846294648,53.72594846294648
0.34,58.54739340897361,58.54739340897361,58.54739340897361,58.54739340897361
0.34500000000000003,63.123019082708225,63.123019082708225,63.123019082708225,63.123019082708225
0.35000000000000003,67.41136348544806,67.41136348544806,67.41136348544806,67.41136348544806
0.355,71.3738040485506,71.3738040485506,71.3738040485506,71.3738040485506
0.36,74.97494316337017,74.97494316337017,74.97494316337017,74.97494316337017
0.365,78.18296149159293,78.18296149159293,78.18296149159293,78.18296149159293
0.37,80.96993552584806,80.96993552584806,80.96993552584806,80.96993552584806
0.375,83.31211622767036,83.31211622767036,83.31211622767036,83.31211622767036
0.38,85.1901659587927,85.1901659587927,85.1901659587927,85.1901659587927
0.385,86.58935133846481,86.58935133846481,86.58935133846481,86.58935133846481
0.39,87.49969009986808,87.49969009986808,87.49969009986808,87.49969009986808
0.395,87.91605047832054,87.91605047832054,87.91605047832054,87.91605047832054
0.4,87.83820213825355,87.83820213825355,87.83820213825355,87.83820213825355
0.405,87.27081813014878,87.27081813014878,87.27081813014878,87.27081813014878
0.41000000000000003,86.22342785791754,86.22342785791754,86.22342785791754,86.22342785791754
0.41500000000000004,84.71032152669015,84.71032152669015,84.71032152669015,84.71032152669015
0.42,82.75040702577583,82.75040702577583,82.75040702577583,82.75040702577583
0.425,80.36702067680427,80.36702067680427,80.36702067680427,80.36702067680427
0.43,77.58769373802389,77.58769373802389,77.58769373802389,77.58769373802389
0.435,74.44387699780141,74.44387699780141,74.44387699780141,74.44387699780141
0.44,70.97062620912567,70.97062620912567,70.97062620912567,70.97062620912567
0.445,67.20625150818233,67.20625150818233,67.20625150818233,67.20625150818233
0.45,63.191934319923845,63.191934319923845,63.191934319923845,63.191934319923845
0.455,58.97131557841999,58.97131557841999,58.97131557841999,58.97131557841999
0.46,54.59005937638504,54.59005937638504,54.59005937638504,54.59005937638504
0.465,50.095396403782324,50.095396403782324,50.095396403782324,50.095396403782324
0.47000000000000003,45.53565173734557,45.53565173734557,45.53565173734557,45.53565173734557
0.47500000000000003,40.95976169921936,40.95976169921936,40.95976169921936,40.95976169921936
0.48,36.41678461213548,36.41678461213548,36.41678461213548,36.41678461213548
0.485,31.955410339527056,31.955410339527056,31.955410339527056,31.955410339527056
0.49,27.623473511121897,27.623473511121897,27.623473511121897,27.623473511121897
0.495,23.467475297732506,23.467475297732506,23.467475297732506,23.467475297732506
0.5,19.532118513537608,19.532118513537608,19.532118513537608,19.532118513537608
0.505,15.859860690988251,15.859860690988251,15.859860690988251,15.859860690988251
0.51,12.49048959389214,12.49048959389214,12.49048959389214,12.49048959389214
0.515,9.46072541003581,9.46072541003581,9.46072541003581,9.46072541003581
0.52,6.803853598131142,6.803853598131142,6.803853598131142,6.803853598131142
0.525,4.549392057582563,4.549392057582563,4.549392057582563,4.549392057582563
0.53,2.722795946631322,2.722795946631322,2.722795946631322,2.722795946631322
0.535,1.3452030982603294,1.3452030982603294,1.3452030982603294,1.3452030982603294
0.54,0.4332225776039061,0.4332225776039061,0.4332225776039061,0.4332225776039061
0.545,-0.0012315064483040166,-0.0012315064483040166,-0.0012315064483040166,-0.0012315064483040166
0.55,0.04894072506916525,0.04894072506916525,0.04894072506916525,0.04894072506916525
0.555,0.5859537540012291,0.5859537540012291,0.5859537540012291,0.5859537540012291
0.56,1.6071143154608345,1.6071143154608345,1.6071143154608345,1.6071143154608345
0.5650000000000001,3.1048480891346224,3.1048480891346224,3.1048480891346224,3.1048480891346224
0.5700000000000001,5.066775164836993,5.066775164836993,5.066775164836993,5.066775164836993
0.5750000000000001,7.475833528306649,7.475833528306649,7.475833528306649,7.475833528306649
0.58,10.310449333438099,10.310449333438099,10.310449333438099,10.310449333438099
0.585,13.544752259664115,13.544752259664115,13.544752259664115,13.544752259664115
0.59,17.148833802729502,17.148833802729502,17.148833802729502,17.148833802729502
